Drivers;Responses;ll_95_fish;est_fish;ul_95_fish;ll_75_fish;est2_fish;ul_75_fish;ll_95_insect;est_insect;ul_95_insect;ll_75_insect;est2_insect;ul_75_insect
UrbanActivityIndex;E_Richness;-0.069425123;-0.032511825;0.004401472;-0.054173145;-0.032511825;-0.010850506;-0.487220005;-0.344689597;-0.202159189;-0.428330964;-0.344689597;-0.26104823
RCroplandIntensity;E_Richness;-0.059038155;-0.012734567;0.033569022;-0.03990626;-0.012734567;0.014437127;-0.601314729;-0.410501129;-0.219687529;-0.522476606;-0.410501129;-0.298525652
Heterogeneity_UrbanActivityIndex;E_Richness;-0.026347773;0.011474246;0.049296265;-0.010720326;0.011474246;0.033668817;-0.025705651;0.114629926;0.254965503;0.032276555;0.114629926;0.196983297
Heterogeneity_CroplandActivityIndex;E_Richness;-0.037227828;0.012729653;0.062687133;-0.016586204;0.012729653;0.042045509;0.030223245;0.21912345;0.408023654;0.108270814;0.21912345;0.329976085
UrbanActivityIndex;D_Density;-0.052739676;-0.002130735;0.048478206;-0.031828879;-0.002130735;0.027567409;-0.288933173;-0.163895636;-0.0388581;-0.237271631;-0.163895636;-0.090519641
RCroplandIntensity;D_Density;-0.120134072;-0.056662925;0.006808221;-0.093908819;-0.056662925;-0.019417032;-0.590953372;-0.423806631;-0.256659891;-0.521893644;-0.423806631;-0.325719619
Heterogeneity_UrbanActivityIndex;D_Density;-0.062049304;-0.010194743;0.041659818;-0.040623837;-0.010194743;0.020234351;-0.068618089;0.054503452;0.177624993;-0.017748176;0.054503452;0.12675508
Heterogeneity_CroplandActivityIndex;D_Density;0.003430959;0.071918426;0.140405894;0.031728874;0.071918426;0.112107978;0.194091949;0.359784512;0.525477075;0.262550857;0.359784512;0.457018167
UrbanActivityIndex;C_LCBD;-0.002703288;0.018296131;0.039295549;0.005973333;0.018296131;0.030618928;-0.052464528;-0.028604472;-0.004744415;-0.04260631;-0.028604472;-0.014602633
RCroplandIntensity;C_LCBD;0.01820986;0.040959441;0.063709023;0.027609619;0.040959441;0.054309263;-0.050658566;-0.018750164;0.013158238;-0.037475027;-0.018750164;-2.53E-05
Heterogeneity_UrbanActivityIndex;C_LCBD;-0.049764772;-0.028898297;-0.008031822;-0.041143082;-0.028898297;-0.016653513;-0.015048244;0.008445727;0.031939699;-0.005341281;0.008445727;0.022232735
Heterogeneity_CroplandActivityIndex;C_LCBD;-0.08201711;-0.05835417;-0.03469123;-0.072239965;-0.05835417;-0.044468375;-0.029151917;0.002475654;0.034103224;-0.016084409;0.002475654;0.021035716
UrbanActivityIndex;B_RichDiff;-0.015248896;0.055643219;0.126535333;0.014042581;0.055643219;0.097243857;0.022583719;0.119356256;0.216128793;0.06256706;0.119356256;0.176145452
RCroplandIntensity;B_RichDiff;-0.015826692;0.061358931;0.138544555;0.016065161;0.061358931;0.106652702;0.278525938;0.407396559;0.536267179;0.331771188;0.407396559;0.483021929
Heterogeneity_UrbanActivityIndex;B_RichDiff;-0.166472597;-0.096024421;-0.025576246;-0.137364548;-0.096024421;-0.054684294;-0.175609547;-0.080303461;0.015002624;-0.136232097;-0.080303461;-0.024374825
Heterogeneity_CroplandActivityIndex;B_RichDiff;-0.116438559;-0.036548569;0.043341422;-0.083429305;-0.036548569;0.010332168;-0.530239983;-0.402032388;-0.273824793;-0.477268674;-0.402032388;-0.326796102
UrbanActivityIndex;A_Replacement;-0.026167235;0.099447902;0.225063039;0.025734911;0.099447902;0.173160893;-0.224024802;-0.128414919;-0.032805036;-0.184521833;-0.128414919;-0.072308005
RCroplandIntensity;A_Replacement;-0.292826572;-0.1562114;-0.019596229;-0.236379389;-0.1562114;-0.076043411;-0.560432773;-0.433795637;-0.307158502;-0.508110328;-0.433795637;-0.359480947
Heterogeneity_UrbanActivityIndex;A_Replacement;-0.206730293;-0.081900949;0.042928394;-0.155152824;-0.081900949;-0.008649075;-0.019913369;0.074265228;0.168443824;0.018998238;0.074265228;0.129532217
Heterogeneity_CroplandActivityIndex;A_Replacement;-0.059970076;0.081578533;0.223127141;-0.001484477;0.081578533;0.164641542;0.25406517;0.380643137;0.507221104;0.306363169;0.380643137;0.454923106
