SITE_ID;Year;Site;Organism;Richness
FW08IA011;2008;Usstreams;Fish;6
FW08SD050;2009;Usstreams;Fish;4
SDRM_1016;2014;Usstreams;Fish;5
FW08NE032;2009;Usstreams;Fish;2
FW08KY033;2009;Usstreams;Fish;18
FW08WA041;2009;Usstreams;Fish;4
SDR9_0910;2014;Usstreams;Fish;3
FW08NE052;2009;Usstreams;Fish;10
FW08IN018;2008;Usstreams;Fish;23
FW08MI052;2009;Usstreams;Fish;6
ILRO_1027;2013;Usstreams;Fish;22
FW08ND058;2009;Usstreams;Fish;8
IAR9_0914;2014;Usstreams;Fish;5
SDRM_1020;2014;Usstreams;Fish;10
NES9_0930;2013;Usstreams;Fish;9
FW08WI045;2009;Usstreams;Fish;16
KYR9_0901;2014;Usstreams;Fish;17
MNRM_1009;2014;Usstreams;Fish;4
NHRM_1005;2014;Usstreams;Fish;9
MERO_1026;2014;Usstreams;Fish;7
NDRF_0002;2014;Usstreams;Fish;7
AZRO_1028;2014;Usstreams;Fish;1
TXRF_0007;2014;Usstreams;Fish;1
ARR9_0903;2013;Usstreams;Fish;32
FW08IA022;2009;Usstreams;Fish;25
FW08AR151;2009;Usstreams;Fish;3
SDRO_1070;2014;Usstreams;Fish;2
FW08IL044;2009;Usstreams;Fish;19
FW08NE070;2009;Usstreams;Fish;4
IAR9_0907;2014;Usstreams;Fish;15
FW08FL081;2009;Usstreams;Fish;1
FW08OK014;2008;Usstreams;Fish;21
MTR9_0919;2014;Usstreams;Fish;1
FW08RMO9112;2009;Usstreams;Fish;4
FW08OK064;2009;Usstreams;Fish;17
FW08SD098;2009;Usstreams;Fish;6
FW08OK050;2009;Usstreams;Fish;18
FW08LA152;2008;Usstreams;Fish;29
FW08TN019;2008;Usstreams;Fish;3
FW08RMO9109;2009;Usstreams;Fish;2
NER9_0914;2014;Usstreams;Fish;14
SDRM_1012;2014;Usstreams;Fish;4
MTR9_0910;2014;Usstreams;Fish;10
FW08MN016;2009;Usstreams;Fish;9
SDRO_1074;2014;Usstreams;Fish;5
MTR9_0921;2014;Usstreams;Fish;9
ILRO_1028;2014;Usstreams;Fish;10
FW08RNE9024;2008;Usstreams;Fish;8
FW08IA043;2008;Usstreams;Fish;10
FW08KY029;2008;Usstreams;Fish;18
FW08AR031;2009;Usstreams;Fish;13
FW08IL045;2009;Usstreams;Fish;1
FW08IN027;2009;Usstreams;Fish;1
FW08IA009;2008;Usstreams;Fish;15
FW08CO013;2008;Usstreams;Fish;8
FW08IL017;2008;Usstreams;Fish;14
KYR9_0903;2014;Usstreams;Fish;22
FW08MO068;2009;Usstreams;Fish;4
FW08UT060;2009;Usstreams;Fish;5
ARRM_1001;2013;Usstreams;Fish;22
FW08NE041;2009;Usstreams;Fish;9
FW08KY017;2008;Usstreams;Fish;26
FW08TN097;2008;Usstreams;Fish;26
KSRF_0006;2013;Usstreams;Fish;12
FW08KY013;2008;Usstreams;Fish;23
FW08IA027;2008;Usstreams;Fish;9
FW08KY016;2008;Usstreams;Fish;20
FW08OK039;2009;Usstreams;Fish;16
FW08MO038;2009;Usstreams;Fish;16
ARR9_0901;2013;Usstreams;Fish;21
MTRM_1006;2014;Usstreams;Fish;12
FW08LA028;2008;Usstreams;Fish;26
SDRO_1067;2013;Usstreams;Fish;6
FW08OK019;2008;Usstreams;Fish;9
FW08OR021;2009;Usstreams;Fish;2
ALRO_1020;2014;Usstreams;Fish;24
FW08IA040;2009;Usstreams;Fish;15
FW08SD084;2009;Usstreams;Fish;5
FW08OK022;2009;Usstreams;Fish;15
ARRM_1005;2013;Usstreams;Fish;22
FW08UT029;2009;Usstreams;Fish;6
FW08MO150;2008;Usstreams;Fish;29
FW08MI063;2009;Usstreams;Fish;1
FW08AR093;2009;Usstreams;Fish;4
TXR9_0909;2013;Usstreams;Fish;11
FW08IA014;2008;Usstreams;Fish;14
FW08SD038;2009;Usstreams;Fish;2
FW08IA049;2009;Usstreams;Fish;18
IAR9_0904;2014;Usstreams;Fish;16
FW08SD165;2009;Usstreams;Fish;7
FW08OK027;2009;Usstreams;Fish;10
FW08AL001;2009;Usstreams;Fish;2
MTRF_0008;2014;Usstreams;Fish;1
OHLS_1074;2013;Usstreams;Fish;23
VARS11_151;2014;Usstreams;Fish;2
FW08NV020;2009;Usstreams;Fish;3
FW08NE067;2009;Usstreams;Fish;14
FW08MI021;2009;Usstreams;Fish;13
FW08NE006;2009;Usstreams;Fish;6
