Ecoregions;Fish_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Fish;lower_Richness_Fish;upperr_Richness_Fish
SAP;11;1.167310935;0;2.440434862;2.167434916;2.713434809
SAP;27;1.055203887;0.065;2.476559758;2.210393772;2.742725745
CPL;9;0.880179615;0.124;2.509350049;2.249121567;2.76957853
CPL;12;0.92031787;0.179;2.539917268;2.284979983;2.794854554
CPL;27;0.323170078;0.23;2.568261418;2.318006987;2.818515849
SAP;5;0.719660575;0.278;2.594938264;2.348883429;2.840993099
CPL;31;0.69360959;0.301;2.607720919;2.363603839;2.851838
CPL;28;0.365603163;0.323;2.619947807;2.377637562;2.862258053
CPL;31;0.79274021;0.349;2.634397766;2.394162613;2.874632918
CPL;30;0.90051998;0.366;2.643845816;2.404931392;2.882760239
CPL;23;0.323170078;0.394;2.659407309;2.422604596;2.896210022
XER;40;1.444598733;0.406;2.666076521;2.430154153;2.901998888
WMT;3;1.167310935;0.444;2.687195691;2.45396103;2.920430352
WMT;1;1.167310935;0.48;2.707203326;2.476370963;2.938035688
WMT;2;1.138754457;0.487;2.711093699;2.480711799;2.941475599
XER;3;0.769170711;0.515;2.726655193;2.498019844;2.955290542
XER;45;1.283747162;0.548;2.744995524;2.51830292;2.971688129
WMT;4;0.880179615;0.564;2.753887807;2.528091171;2.979684442
XER;7;0.880179615;0.579;2.762224321;2.537239954;2.987208688
XER;8;1.124053444;0.582;2.763891624;2.539066467;2.988716781
WMT;5;0.994617518;0.598;2.772783906;2.548789463;2.996778349
WMT;2;0.958396827;0.609;2.77889735;2.555455915;3.002338785
WMT;7;0.547576413;0.618;2.783899259;2.56089922;3.006899297
WMT;4;0.76917071;0.629;2.790012703;2.567538534;3.012486872
XER;6;1.012086015;0.639;2.795570379;2.573561193;3.017579565
WMT;4;0.769170711;0.644;2.798349217;2.576567826;3.020130608
XER;7;1.093748138;0.65;2.801683823;2.580171634;3.023196012
WMT;6;0.976728052;0.659;2.806685732;2.58556882;3.027802643
XER;2;1.153169995;0.667;2.811131873;2.590357691;3.031906055
XER;1;1.062152864;0.672;2.813910711;2.593346593;3.034474828
SPL;8;0.638593544;0.678;2.817245317;2.596929056;3.037561577
WMT;9;1.153169995;0.68;2.818356852;2.598122185;3.038591518
SPL;8;0.323170078;0.683;2.820024155;2.599910915;3.040137395
SPL;6;1.283747162;0.694;2.826137599;2.606459669;3.045815528
WMT;6;1.259404755;0.695;2.826693366;2.607054235;3.046332497
SPL;6;1.167310935;0.696;2.827249134;2.607648672;3.046849596
SPL;7;0.76917071;0.699;2.828916437;2.609431205;3.048401669
XER;4;0.666611091;0.704;2.831695275;2.612399496;3.050991054
WMT;1;1.181187542;0.705;2.832251043;2.612992764;3.051509321
SPL;5;1.259404755;0.707;2.833362578;2.61417891;3.052546245
WMT;1;1.138754457;0.709;2.834474113;2.615364535;3.053583691
XER;5;0.769170711;0.714;2.837252951;2.618326313;3.056179589
SPL;9;1.045836231;0.716;2.838364487;2.61951011;3.057218863
NAP;8;1.088574759;0.72;2.840587557;2.621876131;3.059298983
NAP;15;1.153169995;0.728;2.845033698;2.626601876;3.06346552
CPL;11;1.045836231;0.73;2.846145233;2.627781997;3.06450847
CPL;18;0.880179615;0.737;2.850035607;2.631908266;3.068162948
CPL;2;0.839926786;0.741;2.852258677;2.634263227;3.070254127
CPL;16;0.609476993;0.745;2.854481748;2.636616069;3.072347426
CPL;10;0.880179615;0.747;2.855593283;2.637791694;3.073394872
CPL;16;1.138754457;0.761;2.86337403;2.646006172;3.080741888
CPL;3;0.792740211;0.764;2.865041333;2.647763016;3.08231965
SAP;13;1.012086015;0.769;2.867820171;2.650688414;3.084951928
CPL;6;1.35232298;0.774;2.870599009;2.65361046;3.087587558
CPL;4;0.920317871;0.779;2.873377847;2.65652915;3.090226545
CPL;28;1.221325798;0.783;2.875600918;2.65886168;3.092340156
CPL;27;1.181187542;0.786;2.877268221;2.660609663;3.093926779
CPL;4;1.029152902;0.788;2.878379756;2.66177431;3.094985202
CPL;28;0.90051998;0.79;2.879491291;2.662938417;3.096044165
CPL;23;0.914433743;0.793;2.881158594;2.664683565;3.097633623
SAP;2;0.939601471;0.795;2.882270129;2.665846321;3.098693938
SAP;5;1.167310935;0.8;2.885048968;2.66875084;3.101347095
SAP;6;0.638593544;0.809;2.890050876;2.67397043;3.106131323
UMW;19;0.994617518;0.811;2.891162412;2.675128844;3.107195979
TPL;5;0.79274021;0.816;2.89394125;2.678022497;3.109860002
TPL;4;0.40574142;0.822;2.897275855;2.681490382;3.113061329
TPL;13;0.666611091;0.829;2.901166229;2.685530035;3.116802423
TPL;15;0.323170078;0.831;2.902277764;2.686682991;3.117872538
TPL;16;0;0.833;2.903389299;2.687835399;3.1189432
UMW;13;0.443820376;0.836;2.905056602;2.689562983;3.120550222
TPL;4;0.405741419;0.838;2.906168138;2.69071402;3.121622255
TPL;10;0.638593544;0.84;2.907279673;2.691864509;3.122694837
UMW;11;0.79274021;0.842;2.908391208;2.693014449;3.123767967
TPL;11;0.976728052;0.843;2.908946976;2.693589213;3.124304739
TPL;9;0.323170078;0.844;2.909502743;2.694163839;3.124841648
TPL;18;0.547576413;0.846;2.910614279;2.69531268;3.125915877
TPL;2;0.480041067;0.851;2.913393117;2.698182375;3.128603858
TPL;15;0.514576451;0.856;2.916171955;2.70104863;3.13129528
UMW;22;0.609476993;0.857;2.916727723;2.701621467;3.131833978
TPL;10;0.27816376;0.859;2.917839258;2.702766729;3.132911787
TPL;1;1.10905542;0.861;2.918950793;2.703911439;3.133990148
TPL;20;0.920317871;0.863;2.920062328;2.705055597;3.13506906
UMW;15;0.69360959;0.866;2.921729631;2.706770798;3.136688464
TPL;13;0.480041067;0.87;2.923952702;2.7090558;3.138849604
WMT;1;1.062152864;0.875;2.92673154;2.711908941;3.141554139
WMT;1;1.194809519;0.877;2.927843075;2.713049228;3.142636922
XER;3;1.194809519;0.88;2.929510378;2.714758622;3.144262134
XER;3;0.939601472;0.882;2.930621913;2.715897525;3.145346302
XER;3;1.045836231;0.886;2.932844984;2.718173667;3.1475163
XER;1;1.045836231;0.888;2.933956519;2.719310907;3.148602132
SAP;18;1.177051727;0.89;2.935068054;2.720447591;3.149688518
TPL;14;0.323170078;0.893;2.936735357;2.722151576;3.151319138
TPL;21;0.815584379;0.894;2.937291125;2.722719294;3.151862956
TPL;18;0.644282283;0.901;2.941181498;2.726689426;3.15567357
TPL;18;0.514576452;0.903;2.942293034;2.727822499;3.156763568
TPL;20;0.976728052;0.909;2.945627639;2.731218378;3.1600369
TPL;23;0.994617518;0.913;2.94785071;2.733479514;3.162221906
TPL;24;0.976728052;0.914;2.948406478;2.73404445;3.162768505
TPL;22;1.045836231;0.918;2.950629548;2.7363028;3.164956296
TPL;25;0.69360959;0.92;2.951741083;2.737431139;3.166051027
TPL;18;0.90051998;0.922;2.952852619;2.738558921;3.167146316
UMW;6;0.69360959;0.924;2.953964154;2.739686145;3.168242163
TPL;4;0.666611091;0.93;2.95729876;2.743064469;3.171533051
SAP;25;0.547576413;0.932;2.958410295;2.744189461;3.172631129
UMW;24;0.579171687;0.934;2.95952183;2.745313894;3.173729766
TPL;29;0.69360959;0.939;2.962300668;2.748122535;3.176478801
UMW;20;1.181187542;0.94;2.962856436;2.748683845;3.177029027
UMW;31;0.880179615;0.942;2.963967971;2.749806044;3.178129898
SAP;8;0.79274021;0.943;2.964523739;2.750366935;3.178680543
UMW;28;0.666611091;0.945;2.965635274;2.751488296;3.179782252
TPL;13;0.064595236;0.946;2.966191042;2.752048767;3.180333316
TPL;24;0.90051998;0.947;2.966746809;2.752609099;3.18088452
TPL;27;0.76917071;0.949;2.967858345;2.753729343;3.181987347
UMW;19;0.994617518;0.951;2.96896988;2.754849027;3.183090733
TPL;3;0.666611091;0.954;2.970637183;2.756527506;3.184746859
UMW;5;0.815584379;0.957;2.972304486;2.758204727;3.186404244
TPL;31;0.579171687;0.958;2.972860253;2.758763521;3.186956985
UMW;31;0.719660575;0.96;2.973971789;2.75988069;3.188062887
SPL;9;0.792740211;0.962;2.975083324;2.760997299;3.189169348
SPL;11;0.958396827;0.966;2.977306394;2.76322884;3.191383949
