Ecoregions;Insect_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Insect;lower_Richness_Insect;upperr_Richness_Insect
CPL;45;0.854814692;0;4.057132946;3.838682101;4.27558379
WMT;32;0.915550072;0.064;4.125934586;3.916521465;4.335347708
SAP;15;0.811359163;0.123;4.189361099;3.988060194;4.390662004
SAP;41;1.132855025;0.178;4.248487509;4.054535301;4.442439717
SAP;37;0.854814692;0.229;4.303313817;4.115970052;4.490657581
NAP;28;1.265087683;0.277;4.354915047;4.173590159;4.536239936
TPL;5;0.715932302;0.299;4.378565611;4.199928733;4.55720249
UMW;19;0.881748679;0.321;4.402216176;4.226220055;4.578212296
NAP;38;1.094210789;0.347;4.430166842;4.257227739;4.603105945
CPL;18;0.276722704;0.364;4.448442278;4.277462904;4.619421652
SAP;7;0.989464802;0.392;4.478542996;4.310720748;4.646365244
SAP;40;0.477554166;0.404;4.491443304;4.32494615;4.657940457
NAP;25;0.838217793;0.442;4.532294278;4.369876729;4.694711827
XER;7;1.175068282;0.448;4.538744432;4.376954237;4.700534626
CPL;21;1.103309848;0.478;4.570995201;4.412269718;4.729720684
NAP;12;1.161263564;0.485;4.57852038;4.420492236;4.736548525
NAP;11;1.088081867;0.512;4.607546073;4.452142124;4.762950021
SAP;45;1.147195883;0.545;4.643021919;4.49067798;4.795365857
SAP;17;0.8334065;0.548;4.646246996;4.494172891;4.7983211
SAP;42;0.403639436;0.552;4.650547098;4.498830556;4.80226364
NAP;14;0.276722704;0.561;4.660222329;4.509300954;4.811143704
CPL;12;0.606319536;0.563;4.66237238;4.511625936;4.813118825
SAP;19;0.754521053;0.576;4.676347713;4.526722378;4.825973049
SAP;26;0.663157646;0.579;4.67957279;4.530202208;4.828943372
CPL;10;0.915550072;0.594;4.695698175;4.547578665;4.843817684
WMT;11;1.427460708;0.606;4.708598483;4.561452137;4.855744828
WMT;29;1.397717188;0.615;4.718273713;4.571840764;4.864706663
SAP;33;0.833406499;0.626;4.730098995;4.584518458;4.875679532
SAP;47;1.072533273;0.635;4.739774226;4.594874903;4.884673549
SAP;49;0.544739638;0.641;4.74622438;4.601770982;4.890677778
SAP;14;0.635285246;0.647;4.752674534;4.608660415;4.896688653
SAP;26;1.214998598;0.655;4.761274739;4.617835882;4.904713596
SAP;41;0.985939588;0.663;4.769874944;4.626999282;4.912750606
NAP;30;0.915550072;0.669;4.776325098;4.633863827;4.918786368
SAP;48;1.023821273;0.674;4.781700226;4.639578991;4.923821461
UMW;7;1.214998598;0.677;4.784925303;4.643005766;4.92684484
SAP;50;1.356098801;0.679;4.787075354;4.645289309;4.928861399
SAP;53;1.175068282;0.69;4.798900636;4.657834781;4.939966491
NAP;43;1.287740126;0.691;4.799975662;4.658974095;4.940977229
NAP;29;1.161263564;0.693;4.802125713;4.661252126;4.9429993
SAP;23;0.854814692;0.695;4.804275764;4.663529361;4.945022168
SAP;30;1.252880283;0.7;4.809650893;4.669218952;4.950082834
TPL;13;0.989464802;0.701;4.810725918;4.670356268;4.951095568
SAP;24;1.201926913;0.703;4.81287597;4.672630297;4.953121642
SAP;36;1.161263564;0.706;4.816101046;4.676039827;4.956162266
NAP;17;0.715932302;0.71;4.820401149;4.68058303;4.960219268
SAP;43;0.989464802;0.712;4.8225512;4.682853412;4.962248989
WMT;14;1.175068282;0.713;4.823626226;4.683988296;4.963264156
TPL;11;0.511910636;0.716;4.826851303;4.687391723;4.966310883
SAP;16;0.276722704;0.724;4.835451508;4.696458481;4.974444535
SAP;33;0.740969646;0.726;4.837601559;4.698723103;4.976480015
WMT;23;1.236283383;0.734;4.846201764;4.707773263;4.984630266
WMT;43;1.214998598;0.737;4.849426841;4.711163619;4.987690064
CPL;27;1.252880283;0.741;4.853726944;4.715681144;4.991772743
CPL;38;1.088081867;0.743;4.855876995;4.717938639;4.993815351
NAP;42;1.37720112;0.755;4.868777303;4.731465729;5.006088877
NAP;29;0.989464802;0.756;4.869852328;4.732591595;5.007113062
SAP;34;1.103309848;0.757;4.870927354;4.733717246;5.008137462
CPL;11;0.989464802;0.76;4.874152431;4.737092906;5.011211956
SAP;42;1.023821273;0.765;4.879527559;4.742714679;5.016340439
SAP;46;0.915550072;0.77;4.884902687;4.748331021;5.021474354
CPL;14;0.740969646;0.775;4.890277816;4.753941901;5.02661373
CPL;13;0.44152112;0.779;4.894577918;4.758426655;5.030729182
NPL;25;0.793234794;0.782;4.897802995;4.761787905;5.033818085
NPL;19;1.227842938;0.783;4.898878021;4.76290788;5.034848161
NAP;44;0.71196017;0.786;4.902103098;4.766266476;5.037939719
TPL;41;0.663157646;0.789;4.905328174;4.769623073;5.041033276
TPL;23;1.288913328;0.791;4.907478226;4.771859692;5.043096759
WMT;27;1.161263564;0.793;4.909628277;4.774095419;5.045161135
WMT;23;1.103309848;0.796;4.912853354;4.777447332;5.048259376
CPL;36;0.971668015;0.805;4.922528585;4.787490945;5.057566225
SAP;41;0.403639436;0.807;4.924678636;4.789720378;5.059636894
SAP;59;0.740969646;0.811;4.928978739;4.794176527;5.06378095
SAP;34;1.023821273;0.818;4.936503918;4.801966034;5.071041802
SAP;28;0.690016276;0.824;4.942954072;4.808633846;5.077274298
SAP;25;1.288913328;0.827;4.946179149;4.811964654;5.080393643
SAP;47;0.934733772;0.829;4.9483292;4.814184043;5.082474357
WMT;55;1.072533273;0.831;4.950479251;4.816402509;5.084555993
WMT;19;0.875619756;0.832;4.951554277;4.817511396;5.085597158
SAP;33;1.056650275;0.833;4.952629303;4.818620052;5.086638553
SAP;32;1.173699365;0.836;4.95585438;4.821944632;5.089764127
SAP;39;1.300543977;0.838;4.958004431;4.82415986;5.091849001
SAP;21;0.576171231;0.84;4.960154482;4.82637416;5.093934804
SAP;49;0.944141937;0.842;4.962304533;4.828587531;5.096021536
UMW;25;0.391885379;0.846;4.966604636;4.833011477;5.100197795
UMW;34;1.072533273;0.851;4.971979764;4.838536158;5.105423371
SAP;45;0.765185945;0.853;4.974129815;4.840744392;5.107515239
SAP;54;1.227842938;0.855;4.976279867;4.842951688;5.109608045
NAP;38;1.277096581;0.857;4.978429918;4.845158045;5.111701791
TPL;7;0.915550072;0.859;4.980579969;4.847363462;5.113796476
CPL;17;0.544739638;0.861;4.98273002;4.849567937;5.115892104
NAP;36;1.088081867;0.865;4.987030123;4.853974059;5.120086187
NAP;42;1.212835988;0.87;4.992405251;4.859476395;5.125334107
CPL;45;0.934733772;0.872;4.994555303;4.861675672;5.127434933
CPL;40;1.175068282;0.876;4.998855405;4.866071379;5.131639431
NAP;29;0.663157646;0.878;5.001005456;4.868267807;5.133743106
NAP;47;1.118230173;0.882;5.005305559;4.872657807;5.137953311
SAP;10;0.895854746;0.884;5.00745561;4.874851377;5.140059843
CPL;9;0.22905901;0.886;5.009605661;4.877043992;5.142167331
CPL;25;1.072533273;0.888;5.011755713;4.879235652;5.144275773
CPL;5;1.077232319;0.889;5.012830738;4.880331124;5.145330353
CPL;37;1.147195883;0.89;5.013905764;4.881426356;5.146385172
NAP;42;0.663157646;0.896;5.020355918;4.887992719;5.152719117
TPL;39;0.544739639;0.898;5.022505969;4.890179588;5.15483235
TPL;16;0.544739638;0.9;5.02465602;4.892365497;5.156946544
TPL;30;1.006842803;0.904;5.028956123;4.896734429;5.161177817
CPL;33;0.835575461;0.909;5.034331251;4.902190178;5.166472325
NAP;38;1.118230172;0.91;5.035406277;4.903280604;5.167531949
TPL;7;1.006842803;0.911;5.036481302;4.90437079;5.168591815
XER;9;0.547943682;0.913;5.038631354;4.906550436;5.170712271
TPL;37;0.989464802;0.916;5.041856431;4.909818094;5.173894767
NAP;43;1.345317136;0.917;5.042931456;4.910906831;5.174956082
CPL;36;0.895854746;0.919;5.045081508;4.913083577;5.177079438
SAP;48;1.006842803;0.925;5.051531661;4.919608009;5.183455314
CPL;37;0.511910636;0.927;5.053681713;4.921780881;5.185582544
SAP;27;1.118230173;0.929;5.055831764;4.923952783;5.187710745
SAP;1;1.006842803;0.935;5.062281918;4.930462666;5.19410117
SAP;15;1.147195883;0.937;5.064431969;4.932630684;5.196233254
WMT;32;1.125253742;0.939;5.06658202;4.93479773;5.198366311
SPL;17;0.833406499;0.94;5.067657046;4.935880888;5.199433204
CPL;24;1.040418172;0.941;5.068732072;4.936963803;5.20050034
SAP;42;1.103309848;0.942;5.069807097;4.938046475;5.20156772
SAP;44;0.740969646;0.944;5.071957149;4.940211089;5.203703208
SAP;22;0.276722704;0.946;5.0741072;4.942374729;5.20583967
SAP;37;0.915550072;0.949;5.077332277;4.945618364;5.209046189
CPL;15;0.477554166;0.952;5.080557354;4.948859808;5.212254899
NAP;24;1.132855025;0.953;5.081632379;4.949939802;5.213324957
CPL;15;0.854814692;0.955;5.083782431;4.952099059;5.215465802
WMT;33;1.072533273;0.957;5.085932482;4.954257341;5.217607623
XER;27;1.465342393;0.96;5.089157559;4.957492936;5.220822181
TPL;30;0.765185945;0.961;5.090232584;4.958570981;5.221894188
NAP;40;0.998204915;0.964;5.093457661;4.96180365;5.225111672
NAP;47;1.265087684;0.966;5.095607713;4.963957544;5.227257881
UMW;25;0.477554166;0.97;5.099907815;4.968262406;5.231553225
UMW;16;0.895854746;0.972;5.102057866;4.970413373;5.23370236
CPL;21;0.895854746;0.974;5.104207918;4.972563365;5.235852471
