Ecoregions;Fish_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Fish;lower_Density_Fish;upperr_Density_Fish
SAP;164;1.167310935;0;4.136471345;3.788808903;4.484133788
SAP;327;1.055203887;0.065;4.172487958;3.8349279;4.510048016
CPL;51;0.880179615;0.124;4.205179961;3.876432413;4.533927509
CPL;83;0.92031787;0.179;4.235655557;3.914791244;4.55651987
CPL;676;0.323170078;0.23;4.263914746;3.950052659;4.577776832
SAP;357;0.719660575;0.278;4.29051163;3.982950793;4.598072466
CPL;604;0.69360959;0.301;4.30325597;3.998609884;4.607902055
CPL;555;0.365603163;0.323;4.315446208;4.013522242;4.617370174
CPL;816;0.79274021;0.349;4.329852853;4.031060418;4.628645289
CPL;797;0.90051998;0.366;4.339272583;4.042476272;4.636068894
CPL;899;0.323170078;0.394;4.354787432;4.061187719;4.648387145
XER;316;1.444598733;0.406;4.361436653;4.069171417;4.653701888
WMT;204;1.167310935;0.444;4.382492519;4.09430842;4.670676618
WMT;59;1.167310935;0.48;4.402440182;4.117912996;4.686967368
WMT;88;1.138754457;0.487;4.406318894;4.122478417;4.69015937
XER;221;0.769170711;0.515;4.421833743;4.140658832;4.703008653
XER;728;1.283747162;0.548;4.4401191;4.161914969;4.718323231
WMT;57;0.880179615;0.564;4.448984728;4.172152786;4.725816669
XER;180;0.880179615;0.579;4.457296254;4.181709484;4.732883024
XER;33;1.124053444;0.582;4.458958559;4.183615983;4.734301136
WMT;120;0.994617518;0.598;4.467824187;4.193756452;4.741891922
WMT;7;0.958396827;0.609;4.473919306;4.200700899;4.747137714
WMT;106;0.547576413;0.618;4.478906222;4.206366111;4.751446333
WMT;26;0.76917071;0.629;4.485001341;4.213269785;4.756732897
XER;41;1.012086015;0.639;4.490542359;4.219526151;4.761558566
WMT;24;0.769170711;0.644;4.493312867;4.222647249;4.763978485
XER;284;1.093748138;0.65;4.496637478;4.226386299;4.766888657
WMT;99;0.976728052;0.659;4.501624393;4.231981984;4.771266803
XER;3;1.153169995;0.667;4.506057207;4.236942869;4.775171546
XER;157;1.062152864;0.672;4.508827716;4.240037147;4.777618286
SPL;339;0.638593544;0.678;4.512152327;4.243743879;4.780560774
WMT;493;1.153169995;0.68;4.51326053;4.2449779;4.78154316
SPL;88;0.323170078;0.683;4.514922835;4.246827469;4.783018202
SPL;267;1.283747162;0.694;4.521017954;4.253594145;4.788441764
WMT;115;1.259404755;0.695;4.521572056;4.254208118;4.788935994
SPL;518;1.167310935;0.696;4.522126158;4.254821895;4.789430421
SPL;240;0.76917071;0.699;4.523788463;4.256662041;4.790914885
XER;64;0.666611091;0.704;4.526558972;4.259724998;4.793392945
WMT;57;1.181187542;0.705;4.527113074;4.260336996;4.793889152
SPL;66;1.259404755;0.707;4.528221277;4.261560395;4.794882159
WMT;19;1.138754457;0.709;4.529329481;4.262783;4.795875961
XER;190;0.769170711;0.714;4.532099989;4.265836031;4.798363948
SPL;403;1.045836231;0.716;4.533208193;4.267055848;4.799360538
NAP;158;1.088574759;0.72;4.5354246;4.269493083;4.801356116
NAP;190;1.153169995;0.728;4.539857414;4.274357935;4.805356893
CPL;80;1.045836231;0.73;4.540965617;4.275572138;4.806359096
CPL;227;0.880179615;0.737;4.544844329;4.279815497;4.809873162
CPL;11;0.839926786;0.741;4.547060736;4.282235826;4.811885647
CPL;188;0.609476993;0.745;4.549277143;4.28465291;4.813901376
CPL;152;0.880179615;0.747;4.550385347;4.285860234;4.81491046
CPL;283;1.138754457;0.761;4.558142771;4.294288662;4.821996881
CPL;20;0.792740211;0.764;4.559805076;4.296089536;4.823520617
SAP;121;1.012086015;0.769;4.562575585;4.299086885;4.826064285
CPL;50;1.35232298;0.774;4.565346094;4.302079088;4.8286131
CPL;16;0.920317871;0.779;4.568116603;4.305066131;4.831167074
CPL;397;1.221325798;0.783;4.570333009;4.307452042;4.833213977
CPL;368;1.181187542;0.786;4.571995315;4.309239299;4.83475133
CPL;6;1.029152902;0.788;4.573103518;4.310429766;4.83577727
CPL;692;0.90051998;0.79;4.574211722;4.311619402;4.836804041
CPL;537;0.914433743;0.793;4.575874027;4.313402296;4.838345758
SAP;46;0.939601471;0.795;4.57698223;4.314589851;4.83937461
SAP;649;1.167310935;0.8;4.579752739;4.317555088;4.84195039
SAP;155;0.638593544;0.809;4.584739655;4.322879346;4.846599963
UMW;598;0.994617518;0.811;4.585847858;4.32406021;4.847635506
TPL;172;0.79274021;0.816;4.588618367;4.327008695;4.850228039
TPL;387;0.40574142;0.822;4.591942977;4.330539935;4.85334602
TPL;473;0.666611091;0.829;4.59582169;4.334650121;4.856993258
TPL;785;0.323170078;0.831;4.596929893;4.335822559;4.858037227
TPL;140;0;0.833;4.598038097;4.33699415;4.859082043
UMW;329;0.443820376;0.836;4.599700402;4.33874995;4.860650854
TPL;259;0.405741419;0.838;4.600808605;4.339919423;4.861697788
TPL;262;0.638593544;0.84;4.601916809;4.341088048;4.862745569
UMW;365;0.79274021;0.842;4.603025012;4.342255824;4.8637942
TPL;234;0.976728052;0.843;4.603579114;4.342839394;4.864318834
TPL;95;0.323170078;0.844;4.604133216;4.343422751;4.86484368
TPL;136;0.547576413;0.846;4.605241419;4.344588828;4.865894011
TPL;114;0.480041067;0.851;4.608011928;4.347500297;4.868523559
TPL;252;0.514576451;0.856;4.610782437;4.350406441;4.871158432
UMW;425;0.609476993;0.857;4.611336538;4.35098703;4.871686047
TPL;180;0.27816376;0.859;4.612444742;4.352147568;4.872741916
TPL;4;1.10905542;0.861;4.613552945;4.353307252;4.873798639
TPL;351;0.920317871;0.863;4.614661149;4.354466081;4.874856217
UMW;324;0.69360959;0.866;4.616323454;4.356202722;4.876444187
TPL;261;0.480041067;0.87;4.618539861;4.358515247;4.878564476
WMT;15;1.062152864;0.875;4.62131037;4.361401083;4.881219657
