Ecoregions;Insect_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Insect;lower_Density_Insect;upperr_Density_Insect
CPL;430;0.854814692;0;4.59390037;4.398805478;4.788995261
WMT;308;0.915550072;0.064;4.643195861;4.455877175;4.830514546
SAP;49;0.811359163;0.123;4.688640141;4.508290197;4.868990086
SAP;204;1.132855025;0.178;4.731003454;4.556956147;4.905050761
SAP;417;0.854814692;0.229;4.770285798;4.601897026;4.938674571
NAP;156;1.265087683;0.277;4.807257417;4.644013954;4.97050088
TPL;10;0.715932302;0.299;4.824202742;4.663254358;4.985151126
UMW;149;0.881748679;0.321;4.841148067;4.68245263;4.999843504
NAP;443;1.094210789;0.347;4.86117436;4.705084684;5.017264036
CPL;530;0.276722704;0.364;4.874268475;4.719847884;5.028689066
SAP;14;0.989464802;0.392;4.895835252;4.744101216;5.047569289
SAP;321;0.477554166;0.404;4.905078157;4.754470815;5.055685498
NAP;303;0.838217793;0.442;4.934347355;4.787205317;5.081489392
XER;27;1.175068282;0.448;4.938968807;4.792359175;5.085578439
CPL;48;1.103309848;0.478;4.962076068;4.81806537;5.106086767
NAP;60;1.161263564;0.485;4.967467763;4.824047959;5.110887566
NAP;813;1.088081867;0.512;4.988264298;4.847066532;5.129462063
SAP;258;1.147195883;0.545;5.013682285;4.875072274;5.152292297
SAP;37;0.8334065;0.548;5.015993012;4.877611013;5.15437501
SAP;209;0.403639436;0.552;5.01907398;4.88099408;5.157153879
NAP;63;0.276722704;0.561;5.026006158;4.888597896;5.163414421
CPL;109;0.606319536;0.563;5.027546642;4.890286099;5.164807185
SAP;127;0.754521053;0.576;5.037559789;4.901245662;5.173873915
SAP;172;0.663157646;0.579;5.039870515;4.903771372;5.175969658
CPL;19;0.915550072;0.594;5.051424146;4.916380364;5.186467927
WMT;912;1.427460708;0.606;5.06066705;4.926443725;5.194890376
WMT;509;1.397717188;0.615;5.067599229;4.933977085;5.201221373
SAP;321;0.833406499;0.626;5.076071891;4.943167777;5.208976006
SAP;268;1.072533273;0.635;5.08300407;4.950673535;5.215334604
SAP;358;0.544739638;0.641;5.087625522;4.955670338;5.219580707
SAP;78;0.635285246;0.647;5.092246974;4.960661454;5.223832495
SAP;428;1.214998598;0.655;5.098408911;4.967307348;5.229510474
SAP;352;0.985939588;0.663;5.104570847;4.973942935;5.235198759
NAP;227;0.915550072;0.669;5.109192299;4.978912794;5.239471805
SAP;324;1.023821273;0.674;5.11304351;4.983049832;5.243037188
UMW;152;1.214998598;0.677;5.115354236;4.985530074;5.245178398
SAP;374;1.356098801;0.679;5.11689472;4.987182739;5.2466067
SAP;344;1.175068282;0.69;5.125367382;4.996260467;5.254474298
NAP;391;1.287740126;0.691;5.126137624;4.997084707;5.255190542
NAP;212;1.161263564;0.693;5.127678108;4.998732681;5.256623536
SAP;80;0.854814692;0.695;5.129218593;5.000379978;5.258057207
SAP;333;1.252880283;0.7;5.133069803;5.004495248;5.261644358
TPL;30;0.989464802;0.701;5.133840045;5.005317791;5.262362299
SAP;176;1.201926913;0.703;5.135380529;5.006962363;5.263798695
SAP;357;1.161263564;0.706;5.137691255;5.009427935;5.265954575
NAP;55;0.715932302;0.71;5.140772223;5.012712957;5.26883149
SAP;163;0.989464802;0.712;5.142312707;5.014354432;5.270270983
WMT;571;1.175068282;0.713;5.143082949;5.015174909;5.27099099
TPL;347;0.511910636;0.716;5.145393676;5.017635301;5.27315205
SAP;78;0.276722704;0.724;5.151555612;5.024188674;5.27892255
SAP;165;0.740969646;0.726;5.153096096;5.025825265;5.280366927
WMT;133;1.236283383;0.734;5.159258032;5.032364571;5.286151494
WMT;416;1.214998598;0.737;5.161568759;5.034813886;5.288323631
CPL;187;1.252880283;0.741;5.164649727;5.038077144;5.29122231
CPL;515;1.088081867;0.743;5.166190211;5.0397077;5.292672722
NAP;347;1.37720112;0.755;5.175433115;5.049475917;5.301390314
NAP;376;0.989464802;0.756;5.176203357;5.050288759;5.302117956
SAP;457;1.103309848;0.757;5.1769736;5.051101419;5.30284578
CPL;24;0.989464802;0.76;5.179284326;5.053538308;5.305030343
SAP;360;1.023821273;0.765;5.183135536;5.057596137;5.308674935
SAP;431;0.915550072;0.77;5.186986746;5.06164938;5.312324112
CPL;434;0.740969646;0.775;5.190837956;5.065698016;5.315977897
CPL;158;0.44152112;0.779;5.193918925;5.068933592;5.318904257
NPL;405;0.793234794;0.782;5.196229651;5.071358323;5.321100978
NPL;365;1.227842938;0.783;5.196999893;5.072166195;5.321833591
NAP;281;0.71196017;0.786;5.199310619;5.074588688;5.324032549
TPL;168;0.663157646;0.789;5.201621345;5.077009499;5.326233191
TPL;71;1.288913328;0.791;5.203161829;5.078622435;5.327701223
WMT;346;1.161263564;0.793;5.204702313;5.08023462;5.329170007
WMT;185;1.103309848;0.796;5.207013039;5.082651485;5.331374594
CPL;203;0.971668015;0.805;5.213945218;5.089891875;5.33799856
SAP;383;0.403639436;0.807;5.215485702;5.091498764;5.33947264
SAP;424;0.740969646;0.811;5.21856667;5.094710255;5.342423085
SAP;298;1.023821273;0.818;5.223958364;5.100323006;5.347593722
SAP;323;0.690016276;0.824;5.228579817;5.105126449;5.352033184
SAP;63;1.288913328;0.827;5.230890543;5.107525569;5.354255517
SAP;275;0.934733772;0.829;5.232431027;5.109124016;5.355738038
WMT;436;1.072533273;0.831;5.233971511;5.110721688;5.357221334
WMT;468;0.875619756;0.832;5.234741753;5.111520234;5.357963272
SAP;166;1.056650275;0.833;5.235511995;5.112318586;5.358705405
SAP;102;1.173699365;0.836;5.237822721;5.114712475;5.360932967
SAP;340;1.300543977;0.838;5.239363205;5.11630743;5.362418981
SAP;235;0.576171231;0.84;5.240903689;5.117901605;5.363905774
SAP;378;0.944141937;0.842;5.242444174;5.119495001;5.365393346
UMW;496;0.391885379;0.846;5.245525142;5.122679448;5.368370836
UMW;381;1.072533273;0.851;5.249376352;5.126655601;5.372097103
SAP;434;0.765185945;0.853;5.250916836;5.128244689;5.373588984
SAP;488;1.227842938;0.855;5.25245732;5.12983299;5.37508165
NAP;490;1.277096581;0.857;5.253997804;5.131420504;5.376575104
TPL;56;0.915550072;0.859;5.255538288;5.13300723;5.378069346
CPL;112;0.544739638;0.861;5.257078772;5.134593167;5.379564378
NAP;493;1.088081867;0.865;5.260159741;5.137762671;5.38255681
NAP;492;1.212835988;0.87;5.264010951;5.141720097;5.386301805
