Ecoregions;Fish_LCBD;SumNat_PFC;Habitat_Heterogeneity;Pred_LCBD_Fish;lower_LCBD_Fish;upperr_LCBD_Fish
SAP;0.00152023;1.167310935;0;-10.01618587;-10.25324877;-9.77912297
SAP;0.001491629;1.055203887;0.065;-10.00103557;-10.23788612;-9.764185027
CPL;0.001467911;0.880179615;0.124;-9.98728376;-10.22395409;-9.750613428
CPL;0.001499301;0.92031787;0.179;-9.974464275;-10.21097739;-9.737951163
CPL;0.001390751;0.323170078;0.23;-9.962577117;-10.19895375;-9.726200481
SAP;0.000771577;0.719660575;0.278;-9.951389202;-10.18764559;-9.715132818
CPL;0.001389996;0.69360959;0.301;-9.946028327;-10.18222991;-9.709826743
CPL;0.001411971;0.365603163;0.323;-9.940900533;-10.17705141;-9.704749655
CPL;0.001369491;0.79274021;0.349;-9.934840413;-10.17093352;-9.698747301
CPL;0.001356981;0.90051998;0.366;-9.930878027;-10.16693463;-9.694821419
CPL;0.001388642;0.323170078;0.394;-9.924351743;-10.16035041;-9.688353079
XER;0.001616126;1.444598733;0.406;-9.921554765;-10.15752943;-9.685580101
WMT;0.001649115;1.167310935;0.444;-9.912697666;-10.14859962;-9.67679571
WMT;0.001644648;1.167310935;0.48;-9.904306731;-10.14014443;-9.668469032
WMT;0.001658225;1.138754457;0.487;-9.90267516;-10.13850089;-9.666849433
XER;0.000771629;0.769170711;0.515;-9.896148876;-10.13192842;-9.660369334
XER;0.001690123;1.283747162;0.548;-9.888457186;-10.12418579;-9.652728576
WMT;0.00164912;0.880179615;0.564;-9.884727881;-10.12043316;-9.649022603
XER;0.001664377;0.880179615;0.579;-9.881231658;-10.11691587;-9.645547444
XER;0.00161614;1.124053444;0.582;-9.880532413;-10.11621251;-9.644852318
WMT;0.001653171;0.994617518;0.598;-9.876803108;-10.11246176;-9.641144452
WMT;0.001682941;0.958396827;0.609;-9.874239211;-10.10988365;-9.638594777
WMT;0.000771643;0.547576413;0.618;-9.872141477;-10.10777459;-9.636508365
WMT;0.000771674;0.76917071;0.629;-9.86957758;-10.10519724;-9.633957924
XER;0.001524099;1.012086015;0.639;-9.867246765;-10.10285455;-9.631638975
WMT;0.000771676;0.769170711;0.644;-9.866081357;-10.10168334;-9.63047937
XER;0.001629366;1.093748138;0.65;-9.864682868;-10.10027801;-9.629087729
WMT;0.00163808;0.976728052;0.659;-9.862585134;-10.09817024;-9.627000032
XER;0.001637455;1.153169995;0.667;-9.860720482;-10.0962969;-9.625144065
XER;0.001643263;1.062152864;0.672;-9.859555074;-10.09512618;-9.623983972
SPL;0.001421199;0.638593544;0.678;-9.858156585;-10.09372142;-9.622591745
WMT;0.00138599;1.153169995;0.68;-9.857690422;-10.0932532;-9.622127642
SPL;0.001467336;0.323170078;0.683;-9.856991177;-10.09255089;-9.62143146
SPL;0.001415042;1.283747162;0.694;-9.85442728;-10.08997603;-9.618878527
WMT;0.001613468;1.259404755;0.695;-9.854194199;-10.08974198;-9.618646422
SPL;0.001437614;1.167310935;0.696;-9.853961117;-10.08950792;-9.618414313
SPL;0.001086016;0.76917071;0.699;-9.853261872;-10.08880578;-9.617717964
XER;0.00077166;0.666611091;0.704;-9.852096465;-10.08763562;-9.616557313
WMT;0.001652706;1.181187542;0.705;-9.851863383;-10.08740159;-9.616325173
SPL;0.001461868;1.259404755;0.707;-9.85139722;-10.08693356;-9.615860881
WMT;0.001683755;1.138754457;0.709;-9.850931057;-10.08646554;-9.615396575
XER;0.001027782;0.769170711;0.714;-9.849765649;-10.08529555;-9.61423575
SPL;0.001409543;1.045836231;0.716;-9.849299486;-10.08482758;-9.613771396
NAP;0.001474872;1.088574759;0.72;-9.84836716;-10.08389167;-9.612842645
NAP;0.001457269;1.153169995;0.728;-9.846502508;-10.08202004;-9.610984976
CPL;0.001560277;1.045836231;0.73;-9.846036344;-10.08155216;-9.610520524
CPL;0.001447421;0.880179615;0.737;-9.844404774;-10.07991472;-9.608894832
CPL;0.001657421;0.839926786;0.741;-9.843472447;-10.07897911;-9.607965788
CPL;0.001092063;0.609476993;0.745;-9.842540121;-10.07804355;-9.607036689
CPL;0.001480958;0.880179615;0.747;-9.842073958;-10.0775758;-9.606572118
CPL;0.00149098;1.138754457;0.761;-9.838810817;-10.0743019;-9.603319732
CPL;0.001683165;0.792740211;0.764;-9.838111572;-10.07360044;-9.602622704
SAP;0.001424042;1.012086015;0.769;-9.836946164;-10.07243141;-9.601460919
CPL;0.001579199;1.35232298;0.774;-9.835780757;-10.07126247;-9.600299048
CPL;0.001659733;0.920317871;0.779;-9.834615349;-10.07009361;-9.599137089
CPL;0.001503777;1.221325798;0.783;-9.833683023;-10.06915859;-9.598207459
