Ecoregions;Insect_LCBD;SumNat_PFC;Habitat_Heterogeneity;Pred_LCBD_Insect;lower_LCBD_Insect;upperr_LCBD_Insect
CPL;0.001211052;0.854814692;0;-10.02694397;-10.30918618;-9.744701755
WMT;0.001485398;0.915550072;0.064;-10.02575281;-10.30780295;-9.743702663
SAP;0.000780002;0.811359163;0.123;-10.0246547;-10.30653925;-9.742770154
SAP;0.000743061;1.132855025;0.178;-10.02363105;-10.30537116;-9.741890937
SAP;0.000907613;0.854814692;0.229;-10.02268184;-10.30429659;-9.741067088
NAP;0.001209352;1.265087683;0.277;-10.02178847;-10.30329278;-9.740284154
TPL;0.000819863;0.715932302;0.299;-10.02137901;-10.30283515;-9.739922861
UMW;0.001388541;0.881748679;0.321;-10.02096954;-10.30237906;-9.739560028
NAP;0.000803536;1.094210789;0.347;-10.02048564;-10.30184203;-9.739129239
CPL;0.001343226;0.276722704;0.364;-10.02016923;-10.30149206;-9.738846406
SAP;0.000940634;0.989464802;0.392;-10.0196481;-10.30091764;-9.738378554
SAP;0.000704248;0.477554166;0.404;-10.01942476;-10.30067223;-9.738177281
NAP;0.001234523;0.838217793;0.442;-10.0187175;-10.29989812;-9.737536887
XER;0.001470755;1.175068282;0.448;-10.01860583;-10.29977631;-9.737435351
CPL;0.000841751;1.103309848;0.478;-10.01804747;-10.299169;-9.736925947
NAP;0.001558083;1.161263564;0.485;-10.01791719;-10.29902771;-9.736806673
NAP;0.001612104;1.088081867;0.512;-10.01741467;-10.29848419;-9.736345148
SAP;0.001286575;1.147195883;0.545;-10.01680048;-10.29782305;-9.7357779
SAP;0.001177128;0.8334065;0.548;-10.01674464;-10.29776312;-9.735726159
SAP;0.000690141;0.403639436;0.552;-10.01667019;-10.29768326;-9.735657127
NAP;0.000662219;0.276722704;0.561;-10.01650269;-10.29750375;-9.735501617
CPL;0.000920149;0.606319536;0.563;-10.01646546;-10.2974639;-9.735467025
SAP;0.000754406;0.754521053;0.576;-10.01622351;-10.29720516;-9.735241859
SAP;0.000698748;0.663157646;0.579;-10.01616767;-10.29714552;-9.735189821
CPL;0.001443603;0.915550072;0.594;-10.01588849;-10.29684779;-9.7349292
WMT;0.001612931;1.427460708;0.606;-10.01566515;-10.29661012;-9.734720184
WMT;0.001317641;1.397717188;0.615;-10.01549764;-10.29643217;-9.73456312
SAP;0.001279018;0.833406499;0.626;-10.01529291;-10.29621502;-9.734370801
SAP;0.000831797;1.072533273;0.635;-10.0151254;-10.29603765;-9.734213161
SAP;0.000939632;0.544739638;0.641;-10.01501373;-10.29591954;-9.734107924
SAP;0.001378312;0.635285246;0.647;-10.01490206;-10.29580155;-9.734002572
SAP;0.001115448;1.214998598;0.655;-10.01475317;-10.29564441;-9.733861922
SAP;0.001036754;0.985939588;0.663;-10.01460427;-10.29548747;-9.733721068
NAP;0.000870145;0.915550072;0.669;-10.0144926;-10.29536991;-9.733615293
SAP;0.001489492;1.023821273;0.674;-10.01439954;-10.29527202;-9.733527059
UMW;0.000866148;1.214998598;0.677;-10.0143437;-10.29521333;-9.73347408
SAP;0.000797582;1.356098801;0.679;-10.01430648;-10.29517422;-9.733438745
SAP;0.000915512;1.175068282;0.69;-10.01410175;-10.29495933;-9.733244173
NAP;0.001377432;1.287740126;0.691;-10.01408314;-10.29493981;-9.733226465
NAP;0.001202247;1.161263564;0.693;-10.01404591;-10.29490079;-9.73319104
SAP;0.000805963;0.854814692;0.695;-10.01400869;-10.29486178;-9.733155603
SAP;0.001120372;1.252880283;0.7;-10.01391563;-10.29476431;-9.733066952
TPL;0.000766187;0.989464802;0.701;-10.01389702;-10.29474482;-9.733049213
SAP;0.000811983;1.201926913;0.703;-10.01385979;-10.29470587;-9.733013724
SAP;0.001257709;1.161263564;0.706;-10.01380396;-10.29464745;-9.732960466
NAP;0.00081659;0.715932302;0.71;-10.01372951;-10.29456961;-9.732889412
SAP;0.001285101;0.989464802;0.712;-10.01369229;-10.29453071;-9.732853865
WMT;0.000881931;1.175068282;0.713;-10.01367368;-10.29451126;-9.732836087
TPL;0.000776639;0.511910636;0.716;-10.01361784;-10.29445295;-9.732782734
SAP;0.000765978;0.276722704;0.724;-10.01346894;-10.29429757;-9.732640317
SAP;0.001131636;0.740969646;0.726;-10.01343172;-10.29425876;-9.732604681
WMT;0.000918352;1.236283383;0.734;-10.01328283;-10.29410364;-9.732462008
WMT;0.000964564;1.214998598;0.737;-10.01322699;-10.29404553;-9.732408452
CPL;0.001582766;1.252880283;0.741;-10.01315254;-10.29396808;-9.732337001
CPL;0.000954876;1.088081867;0.743;-10.01311532;-10.29392938;-9.732301255
NAP;0.001232917;1.37720112;0.755;-10.01289198;-10.29369744;-9.732086515
NAP;0.000964694;0.989464802;0.756;-10.01287336;-10.29367813;-9.7320686
SAP;0.000752065;1.103309848;0.757;-10.01285475;-10.29365882;-9.732050681
CPL;0.000954784;0.989464802;0.76;-10.01279892;-10.29360093;-9.731996904
SAP;0.000830338;1.023821273;0.765;-10.01270586;-10.2935045;-9.731907213
SAP;0.000965124;0.915550072;0.77;-10.0126128;-10.29340815;-9.731817442
CPL;0.000798206;0.740969646;0.775;-10.01251974;-10.29331188;-9.73172759
CPL;0.00078358;0.44152112;0.779;-10.01244529;-10.29323493;-9.731655651
NPL;0.000849366;0.793234794;0.782;-10.01238945;-10.29317724;-9.731601663
NPL;0.001057881;1.227842938;0.783;-10.01237084;-10.29315802;-9.731583661
NAP;0.000979979;0.71196017;0.786;-10.01231501;-10.29310038;-9.731529635
TPL;0.00118871;0.663157646;0.789;-10.01225917;-10.29304276;-9.73147558
TPL;0.000980561;1.288913328;0.791;-10.01222195;-10.29300437;-9.731439527
WMT;0.000820561;1.161263564;0.793;-10.01218472;-10.29296598;-9.731403461
WMT;0.001302942;1.103309848;0.796;-10.01212889;-10.29290844;-9.731349339
CPL;0.000948173;0.971668015;0.805;-10.01196138;-10.29273596;-9.731186799
SAP;0.000690379;0.403639436;0.807;-10.01192416;-10.29269767;-9.731150643
SAP;0.00110489;0.740969646;0.811;-10.01184971;-10.29262112;-9.731078294
SAP;0.000732269;1.023821273;0.818;-10.01171943;-10.29248729;-9.73095156
SAP;0.000806601;0.690016276;0.824;-10.01160775;-10.2923727;-9.730842806
SAP;0.00142284;1.288913328;0.827;-10.01155192;-10.29231545;-9.730788385
SAP;0.000866163;0.934733772;0.829;-10.01151469;-10.2922773;-9.730752089
WMT;0.001250922;1.072533273;0.831;-10.01147747;-10.29223916;-9.73071578
WMT;0.001074671;0.875619756;0.832;-10.01145886;-10.2922201;-9.73069762
SAP;0.000800436;1.056650275;0.833;-10.01144025;-10.29220104;-9.730679458
SAP;0.001265986;1.173699365;0.836;-10.01138441;-10.29214387;-9.730624951
SAP;0.001375497;1.300543977;0.838;-10.01134719;-10.29210578;-9.730588597
SAP;0.000594642;0.576171231;0.84;-10.01130996;-10.2920677;-9.73055223
SAP;0.000860796;0.944141937;0.842;-10.01127274;-10.29202963;-9.73051585
UMW;0.000755849;0.391885379;0.846;-10.01119829;-10.29195353;-9.730443052
UMW;0.001167869;1.072533273;0.851;-10.01110523;-10.29185848;-9.730351983
SAP;0.000804784;0.765185945;0.853;-10.01106801;-10.29182048;-9.730315532
SAP;0.000900534;1.227842938;0.855;-10.01103078;-10.2917825;-9.730279069
NAP;0.001167507;1.277096581;0.857;-10.01099356;-10.29174453;-9.730242594
TPL;0.00145773;0.915550072;0.859;-10.01095634;-10.29170657;-9.730206105
CPL;0.000746569;0.544739638;0.861;-10.01091911;-10.29166862;-9.730169603
NAP;0.00085158;1.088081867;0.865;-10.01084467;-10.29159277;-9.730096562
NAP;0.001179378;1.212835988;0.87;-10.01075161;-10.29149802;-9.730005188
CPL;0.000762559;0.934733772;0.872;-10.01071438;-10.29146015;-9.729968616
CPL;0.000865867;1.175068282;0.876;-10.01063993;-10.29138444;-9.729895433
NAP;0.000756271;0.663157646;0.878;-10.01060271;-10.2913466;-9.729858823
NAP;0.000862385;1.118230173;0.882;-10.01052826;-10.29127096;-9.729785563
SAP;0.000871017;0.895854746;0.884;-10.01049104;-10.29123316;-9.729748914
CPL;0.000861426;0.22905901;0.886;-10.01045382;-10.29119538;-9.729712252
CPL;0.00090953;1.072533273;0.888;-10.01041659;-10.2911576;-9.729675578
CPL;0.000957848;1.077232319;0.889;-10.01039798;-10.29113872;-9.729657236
CPL;0.001047292;1.147195883;0.89;-10.01037937;-10.29111984;-9.72963889
NAP;0.001208981;0.663157646;0.896;-10.0102677;-10.29100664;-9.729528751
TPL;0.000616495;0.544739639;0.898;-10.01023047;-10.29096893;-9.729492012
TPL;0.000692354;0.544739638;0.9;-10.01019325;-10.29093124;-9.729455261
TPL;0.00101409;1.006842803;0.904;-10.0101188;-10.29085588;-9.729381719
CPL;0.001266123;0.835575461;0.909;-10.01002574;-10.29076176;-9.72928972
NAP;0.000818812;1.118230172;0.91;-10.01000713;-10.29074295;-9.72927131
TPL;0.000833009;1.006842803;0.911;-10.00998852;-10.29072414;-9.729252898
XER;0.001040815;0.547943682;0.913;-10.00995129;-10.29068652;-9.729216063
TPL;0.000675387;0.989464802;0.916;-10.00989546;-10.29063013;-9.729160786
NAP;0.001214916;1.345317136;0.917;-10.00987685;-10.29061134;-9.729142354
CPL;0.000679986;0.895854746;0.919;-10.00983962;-10.29057376;-9.729105481
SAP;0.000805591;1.006842803;0.925;-10.00972795;-10.29046112;-9.728994784
CPL;0.000688422;0.511910636;0.927;-10.00969073;-10.29042359;-9.728957859
SAP;0.00123467;1.118230173;0.929;-10.0096535;-10.29038608;-9.728920921
SAP;0.000814349;1.006842803;0.935;-10.00954183;-10.29027363;-9.728810032
SAP;0.001065415;1.147195883;0.937;-10.00950461;-10.29023617;-9.728773043
WMT;0.001045753;1.125253742;0.939;-10.00946738;-10.29019873;-9.728736041
SPL;0.000791223;0.833406499;0.94;-10.00944877;-10.29018001;-9.728717536
CPL;0.00074862;1.040418172;0.941;-10.00943016;-10.29016129;-9.728699027
SAP;0.000652641;1.103309848;0.942;-10.00941155;-10.29014258;-9.728680515
SAP;0.000806516;0.740969646;0.944;-10.00937432;-10.29010517;-9.728643481
SAP;0.001312526;0.276722704;0.946;-10.0093371;-10.29006777;-9.728606434
SAP;0.000840534;0.915550072;0.949;-10.00928126;-10.29001169;-9.72855084
CPL;0.000832988;0.477554166;0.952;-10.00922543;-10.28995564;-9.728495218
NAP;0.00103004;1.132855025;0.953;-10.00920682;-10.28993696;-9.72847667
CPL;0.000773492;0.854814692;0.955;-10.00916959;-10.28989962;-9.728439566
WMT;0.001004928;1.072533273;0.957;-10.00913237;-10.28986229;-9.728402449
XER;0.001433734;1.465342393;0.96;-10.00907653;-10.28980632;-9.728346749
TPL;0.000879914;0.765185945;0.961;-10.00905792;-10.28978767;-9.728328176
NAP;0.001165083;0.998204915;0.964;-10.00900209;-10.28973173;-9.728272438
NAP;0.001256047;1.265087684;0.966;-10.00896486;-10.28969446;-9.728235263
UMW;0.000518251;0.477554166;0.97;-10.00889041;-10.28961995;-9.728160875
UMW;0.001112859;0.895854746;0.972;-10.00885319;-10.28958272;-9.728123661
CPL;0.000844621;0.895854746;0.974;-10.00881597;-10.2895455;-9.728086435
SAP;0.000981057;1.056650275;0.975;-10.00879736;-10.28952689;-9.728067817
WMT;0.000980426;1.277096581;0.976;-10.00877874;-10.28950829;-9.728049196
SPL;0.000879222;0.971668015;0.977;-10.00876013;-10.28948969;-9.728030572
UMW;0.000631579;0.765185945;0.978;-10.00874152;-10.28947109;-9.728011945
UMW;0.001088662;0.854814692;0.979;-10.00872291;-10.2894525;-9.727993314
CPL;0.000707904;0.983157924;0.981;-10.00868568;-10.28941532;-9.727956043
WMT;0.001084633;0.953431757;0.982;-10.00866707;-10.28939674;-9.727937402
CPL;0.000725283;0.934733772;0.983;-10.00864846;-10.28937816;-9.727918759
CPL;0.000880373;1.006842803;0.986;-10.00859262;-10.28932244;-9.727862809
NAP;0.001092231;1.103309848;0.989;-10.00853679;-10.28926675;-9.72780683
SAP;0.000717921;0.897848084;0.991;-10.00849956;-10.28922963;-9.727769495
UMW;0.000807128;1.118230172;0.992;-10.00848095;-10.28921108;-9.727750823
CPL;0.000737558;1.040418172;0.997;-10.00838789;-10.28911837;-9.727657413
CPL;0.000906587;0.934733772;0.998;-10.00836928;-10.28909984;-9.727638721
CPL;0.000748136;0.953431757;1;-10.00833206;-10.28906279;-9.727601328
TPL;0.000846613;0.321495863;1.002;-10.00829483;-10.28902574;-9.727563922
SAP;0.001058178;0.606319536;1.005;-10.008239;-10.28897021;-9.72750779
SAP;0.000600235;0.690016276;1.007;-10.00820177;-10.2889332;-9.727470352
SAP;0.000774534;1.006842803;1.008;-10.00818316;-10.2889147;-9.727451628
SAP;0.001220226;1.161263564;1.009;-10.00816455;-10.2888962;-9.727432901
NAP;0.001208173;1.118230173;1.012;-10.00810871;-10.28884073;-9.727376701
CPL;0.000637637;0.477554166;1.014;-10.00807149;-10.28880376;-9.727339219
SAP;0.000783071;1.214998598;1.015;-10.00805288;-10.28878528;-9.727320473
SAP;0.0008344;1.072533273;1.017;-10.00801565;-10.28874834;-9.727282971
CPL;0.001221583;0.788633341;1.022;-10.0079226;-10.28865603;-9.72718916
SAP;0.000858642;1.046547095;1.024;-10.00788537;-10.28861913;-9.727151613
NAP;0.000901552;0.875619756;1.025;-10.00786676;-10.28860068;-9.727132835
SAP;0.000566322;0.715932301;1.027;-10.00782954;-10.2885638;-9.727095269
UMW;0.000745208;0.971668015;1.034;-10.00769925;-10.28843482;-9.726963687
CPL;0.001595072;1.288913328;1.037;-10.00764342;-10.28837959;-9.726907246
CPL;0.001028586;1.277096581;1.039;-10.00760619;-10.28834278;-9.726869603
SAP;0.000734455;1.006842803;1.04;-10.00758758;-10.28832438;-9.726850777
SAP;0.001087997;1.300543977;1.042;-10.00755036;-10.2882876;-9.726813115
CPL;0.000508567;0.811359163;1.044;-10.00751313;-10.28825083;-9.726775439
SAP;0.000757663;0.895854746;1.046;-10.00747591;-10.28821407;-9.726737752
CPL;0.00075593;1.103309848;1.047;-10.0074573;-10.28819569;-9.726718903
XER;0.001381142;1.161263564;1.048;-10.00743869;-10.28817732;-9.726700051
TPL;0.00109203;0.971668015;1.05;-10.00740146;-10.28814059;-9.726662337
SAP;0.000878007;0.544739638;1.053;-10.00734563;-10.28808551;-9.726605743
SAP;0.001247384;0.690016276;1.054;-10.00732701;-10.28806716;-9.726586872
WMT;0.00133055;1.300543977;1.055;-10.0073084;-10.28804881;-9.726567997
SAP;0.000949926;1.132855026;1.057;-10.00727118;-10.28801212;-9.726530239
CPL;0.000804542;1.137666319;1.06;-10.00721534;-10.28795711;-9.726473577
SAP;0.000770876;1.147195883;1.062;-10.00717812;-10.28792045;-9.726435787
SAP;0.001256756;0.971668015;1.063;-10.00715951;-10.28790213;-9.726416887
SAP;0.000713;0.854814692;1.064;-10.0071409;-10.28788381;-9.726397983
SAP;0.000808392;1.201926913;1.065;-10.00712228;-10.28786549;-9.726379077
UMW;0.000696155;0.811359162;1.068;-10.00706645;-10.28781056;-9.726322338
UMW;0.001153221;1.132855025;1.069;-10.00704784;-10.28779225;-9.726303419
NAP;0.000803374;0.903796016;1.071;-10.00701061;-10.28775565;-9.726265571
NAP;0.001257317;0.57617123;1.073;-10.00697339;-10.28771907;-9.72622771
SAP;0.001363077;1.147195882;1.074;-10.00695478;-10.28770078;-9.726208775
SAP;0.000791828;0.606319536;1.077;-10.00689894;-10.28764593;-9.726151949
WMT;0.001287008;1.118230173;1.079;-10.00686172;-10.28760938;-9.72611405
CPL;0.001577459;1.201926913;1.08;-10.0068431;-10.28759111;-9.726095095
WMT;0.000857388;1.323269799;1.083;-10.00678727;-10.28753633;-9.726038212
CPL;0.000750193;0.635285246;1.085;-10.00675004;-10.28749982;-9.726000274
CPL;0.001167424;0.953431757;1.087;-10.00671282;-10.28746332;-9.725962324
TPL;0.000674019;0.788633341;1.088;-10.00669421;-10.28744507;-9.725943343
SAP;0.001122273;1.311994298;1.09;-10.00665699;-10.2874086;-9.725905373
CPL;0.000762818;0.064260594;1.091;-10.00663837;-10.28739036;-9.725886384
SAP;0.000717452;0.403639436;1.093;-10.00660115;-10.2873539;-9.725848394
SAP;0.000736643;1.132855025;1.094;-10.00658254;-10.28733568;-9.725829395
TPL;0.000689123;0.875619757;1.097;-10.0065267;-10.28728103;-9.725772377
WMT;0.000902324;1.259009205;1.098;-10.00650809;-10.28726282;-9.725753365
XER;0.001614384;1.437114845;1.099;-10.00648948;-10.28724461;-9.72573435
CPL;0.001587568;1.147195883;1.102;-10.00643364;-10.28719;-9.725677284
SAP;0.001154559;0.690016276;1.103;-10.00641503;-10.28717181;-9.725658256
TPL;0.000846472;0.915550072;1.104;-10.00639642;-10.28715361;-9.725639224
SAP;0.000714592;0.811359163;1.106;-10.00635919;-10.28711724;-9.725601152
TPL;0.000768293;0.668608083;1.108;-10.00632197;-10.28708088;-9.725563066
CPL;0.000731712;1.201926913;1.111;-10.00626614;-10.28702636;-9.725505914
WMT;0.001014688;0.989464802;1.112;-10.00624752;-10.28700819;-9.725486857
NAP;0.000957493;0.971668015;1.115;-10.00619169;-10.28695371;-9.725429666
TPL;0.000934321;0.915550072;1.117;-10.00615446;-10.2869174;-9.725391523
WMT;0.001003317;0.875619756;1.118;-10.00613585;-10.28689926;-9.725372447
NAP;0.001332478;1.245457799;1.12;-10.00609863;-10.28686297;-9.725334284
SAP;0.001128722;0.635285247;1.121;-10.00608002;-10.28684483;-9.725315198
WMT;0.000872207;0.989464802;1.124;-10.00602418;-10.28679044;-9.725257921
WMT;0.000983628;1.240467706;1.125;-10.00600557;-10.28677231;-9.725238822
NAP;0.001227381;0.715932301;1.126;-10.00598696;-10.28675419;-9.72521972
WMT;0.001481083;1.056650275;1.127;-10.00596834;-10.28673607;-9.725200615
WMT;0.001033852;1.323269799;1.128;-10.00594973;-10.28671796;-9.725181507
SAP;0.000907684;0.989464802;1.129;-10.00593112;-10.28669985;-9.725162395
WMT;0.000981957;1.323269799;1.131;-10.0058939;-10.28666363;-9.725124162
WMT;0.001287144;0.854814692;1.133;-10.00585667;-10.28662743;-9.725085916
WMT;0.000836437;1.103309848;1.138;-10.00576361;-10.28653698;-9.724990246
CPL;0.000877324;0.854814692;1.14;-10.00572639;-10.28650082;-9.724951955
SAP;0.000758865;1.040418172;1.142;-10.00568917;-10.28646468;-9.724913652
SAP;0.001131716;1.161263564;1.146;-10.00561472;-10.28639243;-9.724837007
CPL;0.000786595;0.477554166;1.147;-10.00559611;-10.28637438;-9.724817837
CPL;0.000936927;0.36370912;1.153;-10.00548443;-10.28626612;-9.724702754
SAP;0.000754515;0.8334065;1.158;-10.00539138;-10.28617599;-9.724606763
SAP;0.000934111;0.740969646;1.161;-10.00533554;-10.28612195;-9.72454913
TPL;0.000776679;0.321495863;1.166;-10.00524248;-10.28603195;-9.724453011
TPL;0.000919745;1.098990942;1.167;-10.00522387;-10.28601396;-9.724433778
SPL;0.000768807;1.118230173;1.169;-10.00518664;-10.28597799;-9.724395301
SAP;0.000737059;1.37720112;1.171;-10.00514942;-10.28594203;-9.724356812
CPL;0.000914378;1.088081867;1.172;-10.00513081;-10.28592405;-9.724337563
SAP;0.001027783;0.635285246;1.174;-10.00509358;-10.28588812;-9.724299054
WMT;0.001488757;1.221448691;1.175;-10.00507497;-10.28587015;-9.724279795
WMT;0.000978768;1.094210789;1.176;-10.00505636;-10.28585219;-9.724260533
SAP;0.000677642;1.323269799;1.181;-10.0049633;-10.28576243;-9.724164174
NAP;0.000980577;0.8334065;1.183;-10.00492608;-10.28572655;-9.724125607
WMT;0.00153661;1.118230173;1.185;-10.00488885;-10.28569068;-9.724087028
CPL;0.000775896;0.934733772;1.187;-10.00485163;-10.28565482;-9.724048437
NAP;0.000809836;1.298232454;1.189;-10.00481441;-10.28561898;-9.724009832
SAP;0.000962948;1.147195883;1.198;-10.0046469;-10.28545785;-9.723835953
WMT;0.001411418;1.265087683;1.201;-10.00459106;-10.28540419;-9.723777935
WMT;0.001179592;1.214998598;1.202;-10.00457245;-10.28538631;-9.72375859
NAP;0.001114631;1.188619689;1.205;-10.00451662;-10.2853327;-9.723700534
CPL;0.000907439;1.300543977;1.206;-10.004498;-10.28531483;-9.723681175
TPL;0.001358799;0.953431757;1.208;-10.00446078;-10.28527911;-9.723642449
SAP;0.000785379;0.788633341;1.209;-10.00444217;-10.28526125;-9.723623081
TPL;0.000902004;1.056650275;1.211;-10.00440494;-10.28522555;-9.723584335
SAP;0.000700228;0.663157646;1.212;-10.00438633;-10.28520771;-9.723564958
SAP;0.000821564;0.915550072;1.213;-10.00436772;-10.28518986;-9.723545577
SAP;0.000709085;1.147195883;1.215;-10.0043305;-10.28515419;-9.723506806
SAP;0.001194527;0.854814692;1.218;-10.00427466;-10.2851007;-9.723448625
SAP;0.000738803;0.915550072;1.221;-10.00421882;-10.28504723;-9.723390415
SAP;0.000811973;1.040418172;1.225;-10.00414438;-10.284976;-9.723312757
UMW;0.000940523;1.188619689;1.226;-10.00412577;-10.2849582;-9.723293335
NAP;0.000798692;1.446644409;1.227;-10.00410715;-10.2849404;-9.723273909
NAP;0.001291949;1.204851791;1.228;-10.00408854;-10.2849226;-9.72325448
WMT;0.000822205;0.854814692;1.232;-10.00401409;-10.28485145;-9.723176733
NAP;0.001283661;1.023821273;1.233;-10.00399548;-10.28483368;-9.723157288
SAP;0.001075806;0.690016276;1.234;-10.00397687;-10.2848159;-9.72313784
SAP;0.001038344;1.288913328;1.236;-10.00393965;-10.28478036;-9.723098934
CPL;0.000809527;1.023821273;1.238;-10.00390242;-10.28474483;-9.723060016
CPL;0.00110276;0.715932302;1.239;-10.00388381;-10.28472707;-9.723040552
TPL;0.001099642;1.040418172;1.24;-10.0038652;-10.28470931;-9.723021084
WMT;0.001424178;1.382383815;1.242;-10.00382797;-10.28467381;-9.72298214
NAP;0.000809855;0.953431757;1.243;-10.00380936;-10.28465606;-9.722962663
NAP;0.001142556;0.715932302;1.245;-10.00377214;-10.28462058;-9.7229237
UMW;0.000790464;1.132855025;1.248;-10.0037163;-10.28456738;-9.722865231
UMW;0.001192564;1.166816454;1.249;-10.00369769;-10.28454965;-9.722845735
CPL;0.001343189;0.875619756;1.252;-10.00364186;-10.28449648;-9.722787227
CPL;0.000805505;1.072533273;1.253;-10.00362324;-10.28447877;-9.722767718
CPL;0.000852671;0.934733772;1.254;-10.00360463;-10.28446106;-9.722748206
WMT;0.001280894;1.118230173;1.255;-10.00358602;-10.28444335;-9.722728691
SAP;0.001392389;1.161263564;1.257;-10.0035488;-10.28440794;-9.72268965
TPL;0.000763777;0.576171231;1.259;-10.00351157;-10.28437255;-9.722650597
TPL;0.001017298;1.240467706;1.261;-10.00347435;-10.28433717;-9.722611531
UMW;0.000785048;0.854814692;1.263;-10.00343712;-10.2843018;-9.722572453
XER;0.000782543;0.765185945;1.264;-10.00341851;-10.28428412;-9.722552909
XER;0.000834005;1.023821273;1.265;-10.0033999;-10.28426644;-9.722533361
NAP;0.001080783;1.056650275;1.266;-10.00338129;-10.28424877;-9.722513811
NAP;0.000703235;0.715932301;1.269;-10.00332545;-10.28419577;-9.72245514
NAP;0.0011892;1.387530393;1.27;-10.00330684;-10.28417811;-9.722435577
CPL;0.00087064;0.391885379;1.271;-10.00328823;-10.28416045;-9.72241601
UMW;0.000896419;0.953431757;1.272;-10.00326962;-10.28414279;-9.72239644
