Ecoregions;Fish_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Fish;lower_RichnessDiff_Fish;upperr_RichnessDiff_fish
SAP;0.000877888;1.167310935;0;-9.566860989;-9.879745227;-9.253976752
SAP;0.001526229;1.055203887;0.065;-9.586440188;-9.897469714;-9.275410662
CPL;0.000998843;0.880179615;0.124;-9.604212077;-9.91365996;-9.294764193
CPL;0.000865439;0.92031787;0.179;-9.620779091;-9.928841225;-9.312716957
CPL;0.001528678;0.323170078;0.23;-9.636141232;-9.942995883;-9.329286581
SAP;0.001444819;0.719660575;0.278;-9.650599717;-9.956386837;-9.344812597
CPL;0.001820521;0.69360959;0.301;-9.657527741;-9.962827234;-9.352228248
CPL;0.001591798;0.365603163;0.323;-9.664154547;-9.969002196;-9.359306898
CPL;0.001839245;0.79274021;0.349;-9.671986227;-9.97631835;-9.367654104
CPL;0.001769663;0.90051998;0.366;-9.67710694;-9.981112853;-9.373101027
CPL;0.001282651;0.323170078;0.394;-9.685541057;-9.989028495;-9.382053619
XER;0.001214879;1.444598733;0.406;-9.689155678;-9.992428103;-9.385883252
WMT;0.002013886;1.167310935;0.444;-9.700601979;-10.00322213;-9.397981829
WMT;0.003508766;1.167310935;0.48;-9.711445843;-10.01348834;-9.40940335
WMT;0.002604788;1.138754457;0.487;-9.713554372;-10.01548912;-9.411619629
XER;0.002036166;0.769170711;0.515;-9.721988488;-10.02350717;-9.420469805
XER;0.003472077;1.283747162;0.548;-9.731928697;-10.03298781;-9.430869581
WMT;0.001656597;0.880179615;0.564;-9.736748192;-10.03759652;-9.435899861
XER;0.001839299;0.880179615;0.579;-9.741266469;-10.04192435;-9.440608592
XER;0.00098549;1.124053444;0.582;-9.742170124;-10.04279074;-9.441549505
WMT;0.001386175;0.994617518;0.598;-9.746989619;-10.04741622;-9.446563018
WMT;0.002588034;0.958396827;0.609;-9.750303022;-10.05060083;-9.450005217
WMT;0.001053997;0.547576413;0.618;-9.753013988;-10.0532092;-9.452818776
WMT;0.001644991;0.76917071;0.629;-9.756327391;-10.05640062;-9.456254161
XER;0.001315394;1.012086015;0.639;-9.759339575;-10.05930517;-9.45937398
WMT;0.001644692;0.769170711;0.644;-9.760845668;-10.06075861;-9.460932725
XER;0.001067377;1.093748138;0.65;-9.762652978;-10.06250376;-9.462802194
WMT;0.001197633;0.976728052;0.659;-9.765363944;-10.06512359;-9.465604297
XER;0.002638761;1.153169995;0.667;-9.767773692;-10.06745444;-9.46809294
XER;0.003517556;1.062152864;0.672;-9.769279784;-10.06891224;-9.469647329
SPL;0.001071287;0.638593544;0.678;-9.771087095;-10.07066262;-9.471511567
WMT;0.001018251;1.153169995;0.68;-9.771689532;-10.07124633;-9.47213273
SPL;0.001058975;0.323170078;0.683;-9.772593187;-10.07212213;-9.473064241
SPL;0.001325062;1.283747162;0.694;-9.77590659;-10.0753358;-9.476477379
WMT;0.001222972;1.259404755;0.695;-9.776207808;-10.07562814;-9.476787477
SPL;0.00130689;1.167310935;0.696;-9.776509027;-10.07592051;-9.477097544
