Ecoregions;Insect_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Insect;lower_RichnessDiff_Insect;upperr_RichnessDiff_Insect
CPL;0.001225449;0.854814692;0;-9.837559604;-10.14318873;-9.531930477
WMT;0.000350535;0.915550072;0.064;-9.867641441;-10.17034703;-9.564935854
SAP;0.000857358;0.811359163;0.123;-9.895373135;-10.19553702;-9.595209251
SAP;0.000660914;1.132855025;0.178;-9.921224714;-10.2191552;-9.623294226
SAP;0.000570734;0.854814692;0.229;-9.945196177;-10.2411756;-9.64921675
NAP;0.000429537;1.265087683;0.277;-9.967757555;-10.26200821;-9.673506903
TPL;0.002292388;0.715932302;0.299;-9.978098187;-10.27159185;-9.684604524
UMW;0.000615419;0.881748679;0.321;-9.988438818;-10.28119796;-9.695679673
NAP;0.000535072;1.094210789;0.347;-10.00065956;-10.29257985;-9.708739281
CPL;0.001189075;0.276722704;0.364;-10.00865005;-10.30003908;-9.717261026
SAP;0.001817189;0.989464802;0.392;-10.02181086;-10.31235479;-9.731266918
SAP;0.00059521;0.477554166;0.404;-10.0274512;-10.31764443;-9.737257976
NAP;0.000460221;0.838217793;0.442;-10.04531229;-10.33444067;-9.756183911
XER;0.003558484;1.175068282;0.448;-10.04813246;-10.3370991;-9.759165825
CPL;0.000592534;1.103309848;0.478;-10.06223332;-10.35041758;-9.77404907
NAP;0.002107972;1.161263564;0.485;-10.06552353;-10.35353156;-9.777515488
NAP;0.002027846;1.088081867;0.512;-10.0782143;-10.36556523;-9.790863369
SAP;0.000742831;1.147195883;0.545;-10.09372525;-10.38032205;-9.807128445
SAP;0.000958296;0.8334065;0.548;-10.09513533;-10.38166627;-9.808604402
SAP;0.000843942;0.403639436;0.552;-10.09701545;-10.38345925;-9.810571646
NAP;0.001098918;0.276722704;0.561;-10.10124571;-10.38749639;-9.814995022
CPL;0.001292715;0.606319536;0.563;-10.10218576;-10.38839409;-9.815977444
SAP;0.000587994;0.754521053;0.576;-10.10829614;-10.39423397;-9.822358303
SAP;0.000340877;0.663157646;0.579;-10.10970622;-10.39558284;-9.823829605
CPL;0.002703557;0.915550072;0.594;-10.11675665;-10.40233398;-9.831179326
WMT;0.001189898;1.427460708;0.606;-10.122397;-10.40774306;-9.837050939
WMT;0.000371237;1.397717188;0.615;-10.12662726;-10.41180464;-9.841449876
SAP;0.000560015;0.833406499;0.626;-10.13179757;-10.41677436;-9.846820786
SAP;0.00084068;1.072533273;0.635;-10.13602783;-10.42084506;-9.851210603
SAP;0.001048204;0.544739638;0.641;-10.138848;-10.42356115;-9.854134861
SAP;0.001873846;0.635285246;0.647;-10.14166818;-10.42627906;-9.857057289
SAP;0.000491417;1.214998598;0.655;-10.14542841;-10.4299058;-9.860951008
SAP;0.000992864;0.985939588;0.663;-10.14918864;-10.43353581;-9.864841463
NAP;0.000320618;0.915550072;0.669;-10.15200881;-10.43626045;-9.867757161
SAP;0.001243088;1.023821273;0.674;-10.15435895;-10.4385324;-9.870185504
UMW;0.001913638;1.214998598;0.677;-10.15576904;-10.43989618;-9.871641895
SAP;0.000982203;1.356098801;0.679;-10.15670909;-10.44080562;-9.872612567
SAP;0.001240043;1.175068282;0.69;-10.16187941;-10.44581122;-9.877947601
NAP;0.000984795;1.287740126;0.691;-10.16234944;-10.44626658;-9.878432297
NAP;0.000426813;1.161263564;0.693;-10.1632895;-10.44717746;-9.879401534
SAP;0.000392611;0.854814692;0.695;-10.16422955;-10.44808854;-9.880370566
SAP;0.000476819;1.252880283;0.7;-10.1665797;-10.45036715;-9.882792248
TPL;0.001095344;0.989464802;0.701;-10.16704973;-10.45082302;-9.883276431
SAP;0.000367683;1.201926913;0.703;-10.16798978;-10.45173493;-9.884244641
SAP;0.000663974;1.161263564;0.706;-10.16939987;-10.45310317;-9.885696571
NAP;0.000678422;0.715932302;0.71;-10.17127998;-10.45492821;-9.887631759
SAP;0.001055614;0.989464802;0.712;-10.17222004;-10.45584104;-9.888599044
WMT;0.00088775;1.175068282;0.713;-10.17269007;-10.45629753;-9.88908261
TPL;0.001232283;0.511910636;0.716;-10.17410016;-10.45766732;-9.890532997
SAP;0.000716708;0.276722704;0.724;-10.17786039;-10.46132234;-9.894398431
SAP;0.000540821;0.740969646;0.726;-10.17880044;-10.46223661;-9.895364275
WMT;0.000337705;1.236283383;0.734;-10.18256067;-10.46589576;-9.899225585
WMT;0.000767393;1.214998598;0.737;-10.18397076;-10.46726879;-9.900672726
CPL;0.00032408;1.252880283;0.741;-10.18585087;-10.46910022;-9.902601523
CPL;0.000582492;1.088081867;0.743;-10.18679093;-10.47001625;-9.903565612
