Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
SAP;0.002099118;1.167310935;0;-11.04193037;-11.35694955;-10.7269112
SAP;0.001460448;1.055203887;0.065;-10.97065855;-11.27986914;-10.66144797
CPL;0.001890643;0.880179615;0.124;-10.90596567;-11.21016343;-10.60176791
CPL;0.002070548;0.92031787;0.179;-10.84565875;-11.14541732;-10.54590018
CPL;0.001266448;0.323170078;0.23;-10.78973778;-11.08559067;-10.49388489
SAP;0.001695491;0.719660575;0.278;-10.73710628;-11.0294759;-10.44473667
CPL;0.001002;0.69360959;0.301;-10.71188702;-11.00265581;-10.42111824
CPL;0.001249908;0.365603163;0.323;-10.68776425;-10.97704411;-10.3984844
CPL;0.000946142;0.79274021;0.349;-10.65925552;-10.94682995;-10.3716811
CPL;0.000985065;0.90051998;0.366;-10.6406152;-10.92710678;-10.35412363
CPL;0.001484164;0.323170078;0.394;-10.6099135;-10.89467797;-10.32514902
XER;0.001977735;1.444598733;0.406;-10.59675562;-10.88080168;-10.31270956
WMT;0.001320378;1.167310935;0.444;-10.55508902;-10.83694767;-10.27323037
WMT;3.53E-05;1.167310935;0.48;-10.5156154;-10.7955267;-10.23570409
WMT;0.000505167;1.138754457;0.487;-10.50793997;-10.78748697;-10.22839297
XER;0.001261188;0.769170711;0.515;-10.47723826;-10.75537534;-10.19910118
XER;0.0010842;1.283747162;0.548;-10.44105411;-10.71762788;-10.16448034
WMT;0.001642382;0.880179615;0.564;-10.42351027;-10.6993649;-10.14765565
XER;0.001622771;0.880179615;0.579;-10.40706293;-10.68226663;-10.13185923
XER;0.00184493;1.124053444;0.582;-10.40377346;-10.67884969;-10.12869723
WMT;0.001893792;0.994617518;0.598;-10.38622963;-10.6606414;-10.11181786
WMT;0.000867256;0.958396827;0.609;-10.37416825;-10.6481383;-10.10019819
