Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
CPL;0.001202809;0.854814692;0;-10.40785047;-10.76191919;-10.05378175
WMT;0.001158738;0.915550072;0.064;-10.38354705;-10.73516346;-10.03193064
SAP;0.000733175;0.811359163;0.123;-10.36114234;-10.71063214;-10.01165253
SAP;0.000792789;1.132855025;0.178;-10.34025659;-10.68788199;-9.992631183
SAP;0.001110621;0.854814692;0.229;-10.3208898;-10.6668898;-9.9748898
NAP;0.001644845;1.265087683;0.277;-10.30266223;-10.64722464;-9.958099833
TPL;8.90E-05;0.715932302;0.299;-10.29430793;-10.63824163;-9.950374236
UMW;0.001208378;0.881748679;0.321;-10.28595363;-10.62927776;-9.942629512
NAP;0.00096605;1.094210789;0.347;-10.27608037;-10.61870888;-9.933451858
CPL;0.001588735;0.276722704;0.364;-10.26962477;-10.61181307;-9.927436484
SAP;0.000410015;0.989464802;0.392;-10.25899203;-10.60048055;-9.91750351
SAP;0.000930789;0.477554166;0.404;-10.25443514;-10.59563343;-9.913236843
NAP;0.001666936;0.838217793;0.442;-10.24000498;-10.58032276;-9.899687208
XER;0.000275467;1.175068282;0.448;-10.23772654;-10.57791066;-9.897542419
CPL;0.000991933;1.103309848;0.478;-10.22633431;-10.56587223;-9.886796386
NAP;0.001243255;1.161263564;0.485;-10.22367612;-10.56306858;-9.884283668
NAP;0.000753961;1.088081867;0.512;-10.21342312;-10.55227338;-9.874572852
SAP;0.000940165;1.147195883;0.545;-10.20089167;-10.53912018;-9.862663153
SAP;0.001455181;0.8334065;0.548;-10.19975244;-10.53792668;-9.861578213
SAP;0.00075772;0.403639436;0.552;-10.19823348;-10.53633592;-9.860131045
NAP;0.000879842;0.276722704;0.561;-10.19481581;-10.53275914;-9.856872481
CPL;0.000855896;0.606319536;0.563;-10.19405633;-10.53196476;-9.856147897
SAP;0.000855143;0.754521053;0.576;-10.1891197;-10.52680536;-9.851434041
SAP;0.001075919;0.663157646;0.579;-10.18798048;-10.52561573;-9.850345226
CPL;0.000722241;0.915550072;0.594;-10.18228436;-10.51967321;-9.84489551
WMT;0.001774454;1.427460708;0.606;-10.17772747;-10.51492599;-9.840528956
