Drivers;Responses;ll_95_InvasiveFish;est_InvasiveFish;ul_95_InvasiveFish;ll_75_InvasiveFish;est2_InvasiveFish;ul_75_InvasiveFish
I_SumNat_PFC;D_Density;0.351025582;0.612113157;0.873200733;0.458902735;0.612113157;0.76532358
H_XFC_ALL_scale;D_Density;-0.275011104;-0.168793519;-0.062575934;-0.23112372;-0.168793519;-0.106463318
G_UrbanActivityIndex_scale;D_Density;0.154023401;0.209169403;0.264315405;0.176808835;0.209169403;0.241529971
F_CroplandIntensity_scale;D_Density;0.084408617;0.153218884;0.222029151;0.112839904;0.153218884;0.193597865
C_MeanAnnualTemperature_scale;D_Density;-0.216784978;-0.00258276;0.211619458;-0.128280094;-0.00258276;0.123114575
D_MeanPrecipitation_scale;D_Density;-0.671697617;-0.464257256;-0.256816894;-0.585986623;-0.464257256;-0.342527888
B_SDDEPTH_CM_scale;D_Density;-0.180295405;-0.062494246;0.055306912;-0.131621876;-0.062494246;0.006633384
E_RiparianPresent_scale;D_Density;-0.091636434;0.061506715;0.214649864;-0.028360168;0.061506715;0.151373598
A_CatchmentsArea_scale;D_Density;0.577926584;0.63796342;0.698000257;0.602732831;0.63796342;0.673194009
I_SumNat_PFC;F_RatioInvasiveNative;0.112093855;0.242227718;0.372361582;0.165863057;0.242227718;0.318592379
H_XFC_ALL_scale;F_RatioInvasiveNative;-0.090703029;-0.037788122;0.015126785;-0.068839447;-0.037788122;-0.006736797
G_UrbanActivityIndex_scale;F_RatioInvasiveNative;0.043201889;0.070625389;0.098048888;0.054532835;0.070625389;0.086717943
F_CroplandIntensity_scale;F_RatioInvasiveNative;0.019521231;0.054188549;0.088855868;0.033845205;0.054188549;0.074531894
C_MeanAnnualTemperature_scale;F_RatioInvasiveNative;-0.148631136;-0.037765097;0.073100943;-0.102823086;-0.037765097;0.027292893
D_MeanPrecipitation_scale;F_RatioInvasiveNative;-0.474291813;-0.369086773;-0.263881732;-0.430822796;-0.369086773;-0.307350749
B_SDDEPTH_CM_scale;F_RatioInvasiveNative;-0.120693664;-0.061842334;-0.002991004;-0.096377249;-0.061842334;-0.02730742
E_RiparianPresent_scale;F_RatioInvasiveNative;-0.174660253;-0.097959221;-0.021258189;-0.14296863;-0.097959221;-0.052949812
A_CatchmentsArea_scale;F_RatioInvasiveNative;0.157117942;0.187137249;0.217156556;0.169521433;0.187137249;0.204753065
