Drivers;Responses;ll_95_fish;est_fish;ul_95_fish;ll_75_fish;est2_fish;ul_75_fish;ll_95_insect;est_insect;ul_95_insect;ll_75_insect;est2_insect;ul_75_insect
I_SumNat_PFC_scale;A_observedRichness;0.387134065;0.540314965;0.693495865;0.45042593;0.540314965;0.630204001;0.915535864;1.093868032;1.272200201;0.989217047;1.093868032;1.198519017
H_XFC_ALL_scale;A_observedRichness;-0.106495554;-0.044232123;0.018031309;-0.080769314;-0.044232123;-0.007694932;-0.265252686;-0.192345338;-0.119437989;-0.235129687;-0.192345338;-0.149560988
G_UrbanActivityIndex_scale;A_observedRichness;-0.097776103;-0.065559847;-0.033343591;-0.084464868;-0.065559847;-0.046654825;-0.272713356;-0.231420713;-0.19012807;-0.255652548;-0.231420713;-0.207188877
F_CroplandIntensity_scale;A_observedRichness;-0.045452578;-0.004248231;0.036956115;-0.02842761;-0.004248231;0.019931147;-0.26547809;-0.200427441;-0.135376792;-0.23860123;-0.200427441;-0.162253653
C_MeanAnnualTemperature_scale;A_observedRichness;0.270647936;0.405916978;0.541186019;0.326538911;0.405916978;0.485295044;-0.42560225;-0.282830201;-0.140058152;-0.366613378;-0.282830201;-0.199047025
D_MeanPrecipitation_scale;A_observedRichness;0.204084656;0.329994937;0.455905217;0.256108743;0.329994937;0.403881131;0.084453677;0.216989107;0.349524537;0.139213104;0.216989107;0.29476511
B_SDDEPTH_CM_scale;A_observedRichness;0.093657141;0.162770404;0.231883667;0.12221362;0.162770404;0.203327187;-0.059502163;0.018531271;0.096564704;-0.027261228;0.018531271;0.06432377
E_RiparianPresent_scale;A_observedRichness;0.154699422;0.24541031;0.336121198;0.19217969;0.24541031;0.29864093;0.209225384;0.309237742;0.4092501;0.250547311;0.309237742;0.367928173
A_CatchmentsArea_scale;A_observedRichness;0.547754985;0.583203133;0.618651281;0.562401585;0.583203133;0.604004681;-0.266247342;-0.225736466;-0.185225589;-0.249509536;-0.225736466;-0.201963396
I_SumNat_PFC_scale;B_estimatedRichness;0.424785767;0.617279815;0.809773863;0.504321187;0.617279815;0.730238444;0.881510818;1.125717539;1.369924261;0.982409273;1.125717539;1.269025806
H_XFC_ALL_scale;B_estimatedRichness;-0.141762429;-0.063517397;0.014727636;-0.109432851;-0.063517397;-0.017601943;-0.244367223;-0.144508676;-0.044650129;-0.203108845;-0.144508676;-0.085908506
G_UrbanActivityIndex_scale;B_estimatedRichness;-0.115449278;-0.074959138;-0.034468997;-0.098719409;-0.074959138;-0.051198866;-0.310365903;-0.25387149;-0.197377077;-0.287024207;-0.25387149;-0.220718773
F_CroplandIntensity_scale;B_estimatedRichness;-0.050552264;0.001200261;0.052952786;-0.02916896;0.001200261;0.031569482;-0.356337759;-0.267809682;-0.179281604;-0.319760772;-0.267809682;-0.215858592
C_MeanAnnualTemperature_scale;B_estimatedRichness;0.256827403;0.426464643;0.596101884;0.32691876;0.426464643;0.526010527;-0.6132901;-0.420125965;-0.226961829;-0.533480819;-0.420125965;-0.30677111
D_MeanPrecipitation_scale;B_estimatedRichness;0.288709245;0.44678734;0.604865435;0.354024551;0.44678734;0.539550129;0.15283429;0.333320449;0.513806607;0.227405434;0.333320449;0.439235463
B_SDDEPTH_CM_scale;B_estimatedRichness;0.096896018;0.183688272;0.270480526;0.132757171;0.183688272;0.234619374;-0.126146159;-0.019979054;0.086188052;-0.082281286;-0.019979054;0.042323179
E_RiparianPresent_scale;B_estimatedRichness;0.200306925;0.314269916;0.428232907;0.247394585;0.314269916;0.381145246;0.246500814;0.383266486;0.520032157;0.303008042;0.383266486;0.463524929
A_CatchmentsArea_scale;B_estimatedRichness;0.674107458;0.718645644;0.763183829;0.692509914;0.718645644;0.744781373;-0.288229491;-0.23279657;-0.177363648;-0.26532637;-0.23279657;-0.200266769
