Ecoregions;YEAR;HabitatComplexity;FishTotalDensity;LocalFishTotalLCBD;LocalFishReplLCBD;LocalFishRichLCBD;RegionalFishTotalLBCD;RegionalFishReplLBCD;RegionalFishRichLBCD;Fish_RarefiedChaoRichness;ObservedFishRichness;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
CPL;2014;Poor;33;0.007912029;0.008324997;0.007405069;0.001113064;0.001544828;0.000618352;20;10;0;0;0.349189;0;1.08657
CPL;2014;Good;72;0.007426609;0.006757031;0.008248586;0.001035146;0.001305252;0.000725659;16;12;12.49579284;1.319304873;1.62307237;0.065940859;12.53736258
CPL;2014;Poor;1049;0.008557901;0.01216559;0.004129092;0.001063873;0.000785369;0.001382982;24;24;48.30437089;0.470969956;1.319200585;0.010399443;2.640474543
SAP;2014;Poor;58;0.007139134;0.00850074;0.005467623;0.001092922;0.001435922;0.000699916;12;12;0;0.1849254;0.8160381;0.001116362;0.2103989
SAP;2013;Good;255;0.007673266;0.010108055;0.004277996;0.001189608;0.000600408;0.0018596;38;30;0.003138954;0.788387441;1.64972328;0.069841718;5.532720912
CPL;2014;Poor;504;0.007507475;0.009152598;0.005487917;0.001047571;0.000700406;0.001445352;30;25;0.4225198;0.4052483;1.386835;0.04565388;1.743421
SAP;2013;Good;175;0.007122867;0.008055912;0.005821751;0.001217341;0.000994351;0.001470908;49;24;0;0.1469402;0.5900846;0.01223095;0.8875162
CPL;2014;Poor;112;0.008469032;0.007737287;0.009367324;0.0010436;0.001193735;0.000871577;18;15;2.067198;0.09244654;1.022109;0;0.8002013
SAP;2013;Poor;462;0.007326214;0.00902395;0.004958749;0.001200238;0.00037688;0.002136499;38;35;0.2741242;0.316064;1.084392;0.02532118;2.77715
SAP;2013;Poor;407;0.007423065;0.00934949;0.004736698;0.001241456;0.001279177;0.001198564;4;4;0;0.0913786;0.7910813;0.000220897;0.548073
CPL;2013;Poor;290;0.007396955;0.00969961;0.004185942;0.001235855;0.000793475;0.001738895;32;28;0;0.008181928;0.821555;0;0.5089311
CPL;2013;Good;145;0.007882853;0.010780719;0.003841828;0.001281631;0.001627925;0.000887851;28;16;0;0.001850202;0;0;0.1849587
CPL;2013;Good;624;0.007601145;0.009740627;0.004617675;0.001217377;0.001488779;0.00090876;20;16;2.218031417;1.894826306;1.689584503;0.316208291;38.31309992
CPL;2013;Poor;306;0.00817381;0.008116125;0.008254252;0.001196415;0.001134073;0.001267306;33;21;2.469454;0.4549172;1.93769;0.00482944;0.8521281
SAP;2013;Good;391;0.009050623;0.001670486;0.019342097;0.001239376;0.00043417;0.002154996;42;36;0.636214814;1.770319542;2.805058126;0.477825495;6.038753176
CPL;2014;Poor;223;0.00847011;0.011984079;0.004156352;0.001029697;0.000706505;0.001400008;40;24;0;0.021465348;0.086970865;0;0.47149819
SAP;2013;Good;521;0.007754781;0.009425335;0.005425223;0.001163477;0.001365782;0.00093343;18;16;0;1.243663918;2.127577824;0.153814922;33.84814901
SAP;2014;Poor;362;0.009483282;0.000802489;0.020139848;0.001005245;0.000704177;0.001350207;68;23;38.78623848;2.43343049;2.385099225;0.252433248;40.69331141
SAP;2013;Poor;119;0.00770578;0.009696381;0.004929921;0.001268915;0.001647249;0.000838702;16;15;0.758910127;0.458477396;1.179815055;0.015221693;26.01716083
CPL;2013;Poor;83;0.007582659;0.005481938;0.010512078;0.001256148;0.001769422;0.000672491;12;9;32.52785109;1.150459679;1.631851353;0.119005876;14.00981959
CPL;2013;Poor;49;0.007414864;0.004107294;0.012027214;0.001195905;0.001625728;0.000707144;15;9;8.41059334;6.493600104;2.935420354;1.477493179;188.5326768
CPL;2013;Poor;50;0.007414629;0.008786352;0.005501785;0.001251096;0.001729576;0.000707003;12;8;9.219011156;6.152402303;2.838460357;1.392952675;178.2736049
CPL;2013;Good;427;0.007484945;0.008218351;0.006462221;0.001181277;0.000242163;0.002249166;86;37;0.00034568;0.614528925;1.479258755;0.091605164;10.53980306
SAP;2013;Poor;303;0.008121668;0.01123891;0.003774728;0.001158915;0.001525593;0.000741957;12;12;3.833517549;4.772362908;2.385064075;1.13627502;133.7746345
