SITE_ID;Ecoregions;YEAR;XFC_NAT_ALG_AQM;SumNat_PFC;FishTotalDensity;RegionalFishTotalLBCD;RegionalFishReplLBCD;RegionalFishRichLBCD;Fish_RarefiedChaoRichness;ObservedFishRichness;InvasiveFishDensity;RatioInvasiveDensity;RiparianPresent;SDDEPTH_CM;CatchmentsArea;MeanAnnualTemperature;MeanPrecipitation;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
FW08AR004;SAP;2008;0.365909091;3.818181818;164;0.00152023;0.002099118;0.000877888;11.248;11;0;0;1;14.0715478;3.0969;15.4864539;1991.559488;0;0.339726824;0.881197507;0;4.319166216
FW08AR007;SAP;2008;0.516071428;3.142857143;327;0.001491629;0.001460448;0.001526229;28.994;27;0;0;1;28.04320377;234.9594;15.83568155;1717.253764;0;0.317705101;1.048765107;0.002681314;2.842362685
FW08AR008;CPL;2008;0.15;2.272727273;51;0.001467911;0.001890643;0.000998843;26.647;9;0;0;1;14.67725169;3.0537;16.76059981;2148.543744;0;1.176245211;2.398604766;0;8.762842532
FW08AR009;CPL;2008;0.15909091;2.454545454;83;0.001499301;0.002070548;0.000865439;12.247;12;0;0;0.909090909;12.96030848;11.6541;16.76723494;2490.120998;0;0.513244266;1.667309497;0.077226041;6.59469629
FW08AR010;CPL;2008;0.270454546;0.545454546;676;0.001390751;0.001266448;0.001528678;28.123;27;7;0.074074074;0;800.4100049;2313585.325;9.120166282;857.1050168;28.97048021;1.50448589;1.446873437;0.279137572;28.8422942
FW08AR035;SAP;2008;0.18409091;1.636363637;357;0.000771577;0.001695491;0.001444819;5;5;0;0;1;37.27132838;8.2098;14.16121009;1558.289421;0;0.050866038;0.473825425;0;1.493552608
FW08AR067;CPL;2008;0.268181818;1.545454546;604;0.001389996;0.001002;0.001820521;35.16;31;56;0.096774194;0.909090909;371.3518572;2349120.425;9.21626444;868.4450709;29.26103214;1.51643405;1.451373174;0.283087863;29.12347694
FW08AR078;CPL;2008;0.447727273;0.636363636;555;0.001411971;0.001249908;0.001591798;38.647;28;17;0.071428571;0.090909091;488.5700554;2326299.216;9.157206214;861.2668678;28.92972921;1.51828107;1.450094875;0.283571823;29.22025724
FW08AR087;CPL;2008;0.495454545;1.909090909;816;0.001369491;0.000946142;0.001839245;35.162;31;15;0.064516129;1;166.1301573;2823937.737;9.925647886;878.2368419;27.70125422;1.437858998;1.442842061;0.269370298;27.14418854
FW08AR205;CPL;2008;0.572727272;2.363636364;797;0.001356981;0.000985065;0.001769663;30.166;30;2;0.033333333;0.909090909;225.7345373;2824491.184;9.927132866;878.4048352;27.69701618;1.437629253;1.44277923;0.26933826;27.13957512
FW08AR274;CPL;2008;0.363636364;0.545454545;899;0.001388642;0.001484164;0.001282651;30.991;23;7;0.086956522;0;348.3298901;2325885.766;9.155902999;861.1093347;28.9323482;1.517265697;1.449967776;0.283238725;29.19316648
FW08CA004;XER;2008;0.620454546;6;316;0.001616126;0.001977735;0.001214879;46.498;40;201;0.166666667;1;16.16768194;5081.5008;11.69931466;1109.248451;0.064805657;1.812909662;1.798407077;0.327907062;54.94746932
FW08CA006;WMT;2008;0.293181819;3.818181819;204;0.001649115;0.001320378;0.002013886;3;3;47;0.666666667;0.136363636;21.94132442;35.343;5.42560723;1082.449782;0;0.36399287;0.686582627;0;1.208433544
FW08CA010;WMT;2008;0.354545454;3.818181817;59;0.001644648;3.53E-05;0.003508766;1;1;0;0;1;11.67473314;12124.9174;7.637504842;715.0696849;0;0.776276819;1.916472213;0.285342773;2.636437189
FW08CA013;WMT;2008;0.506818181;3.636363636;88;0.001658225;0.000505167;0.002604788;2;2;0;0;1;22.78918449;8.7156;11.52925712;1236.74774;0;0.157372986;1.551964847;0;1.976405201
FW08CA016;XER;2008;0.290909092;1.818181819;221;0.000771629;0.001261188;0.002036166;3;3;0;0;1;11.45684634;45.9945;13.62212513;578.8952863;0;0.0945113;0.701764693;0.015654046;0.743438718
FW08CA017;XER;2008;0.647727274;4.636363636;728;0.001690123;0.0010842;0.003472077;49;45;7;2;1;27.24508296;2825306.553;12.72489738;875.7139506;0;0.180325758;1.109334176;0;1.25272467
FW08CA020;WMT;2008;0.15;2.272727273;57;0.00164912;0.001642382;0.001656597;4;4;20;0.75;0.761904762;226.4588174;25135.9956;8.4075145;601.9183044;3.244988235;0.559947902;1.538691255;0.06584581;3.700594831
FW08CA031;XER;2008;0.261363637;2.272727273;180;0.001664377;0.001622771;0.001839299;7;7;0;0;0.727272727;36.80840374;1582.0263;14.34618031;755.1143432;0.612410805;1.132353552;1.786473479;0.251335898;25.01467747
FW08CA035;XER;2008;0.334090909;3.545454546;33;0.00161614;0.00184493;0.00098549;8.242;8;160;0.75;0.952380952;59.09511252;48194.757;11.8772944;827.1529355;6.711294343;0.793051431;1.445930149;0.123121069;15.71522882
FW08CA040;WMT;2008;0.15909091;2.818181818;120;0.001653171;0.001893792;0.001386175;5.496;5;31;0.6;0.681818182;109.0118611;22896.1044;8.186277018;551.9873776;3.562365832;0.5955487;1.625900067;0.068089312;4.013326419
FW08CA044;WMT;2008;0.131818182;2.636363637;7;0.001682941;0.000867256;0.002588034;2;2;42;2;0.045454545;32.93458469;2721.2193;7.294443932;396.063462;1.487906542;0.314532092;1.00749088;0.01164184;1.777092047
FW08CA056;WMT;2008;0.072727274;1.090909091;106;0.000771643;0.000217357;0.001053997;7.495;7;1;0.142857143;0.863636364;159.173211;34505.5869;9.186431938;771.2038018;2.363849374;0.504149645;1.404675142;0.059807706;3.254369793
FW08CA059;WMT;2008;0.202272727;1.818181818;26;0.000771674;0.00170079;0.001644991;4;4;0;0;0.727272727;115.8837366;4527.7191;8.618367796;775.7549012;0.00415441;0.610579155;1.482006402;0.052476754;3.230520411
FW08CA061;XER;2008;0.200000001;2.909090909;41;0.001524099;0.001712187;0.001315394;8.927;6;12;0.5;0.636363636;17.19290434;4770.0702;10.2355955;943.5489253;4.406123834;0.850918043;1.045873968;0.254505688;25.9538513
FW08CA063;WMT;2008;0.127272727;1.818181819;24;0.000771676;0.001704369;0.001644692;6.875;4;108;0.5;0.909090909;137.2484292;5787.5355;12.56378568;1052.383698;0.000357665;0.224330564;1.11319545;0.01883185;3.147855931
FW08CA067;XER;2008;0.427272727;3.363636363;284;0.001629366;0.00213584;0.001067377;7;7;14;0.142857143;1;95.19549264;5023.0161;11.64247657;1115.660341;0.045134237;1.873202537;1.777937732;0.389526922;56.39224211
FW08CA068;WMT;2008;0.284090909;2.727272727;99;0.00163808;0.002035018;0.001197633;6;6;1;0.166666667;0.681818182;74.54718525;18484.6176;7.631724426;459.051178;3.851553846;0.655711839;1.752652744;0.072171901;4.624607702
FW08CO001;XER;2008;0.590909091;3.727272727;3;0.001637455;0.000735061;0.002638761;2.333;2;0;0;0.136363636;15.55399523;60.4998;8.937368519;264.0960571;15.2866621;1.510621523;2.660558508;0.046115855;26.06153143
FW08CO003;XER;2008;0.534090909;3.181818182;157;0.001643263;0.0010459;0.003517556;1;1;0;0;0;14.71005634;115.6653;6.556113967;517.7242044;0;0.098142658;0.582281419;0;0.248554422
FW08CO010;SPL;2008;0.134090911;1.363636364;339;0.001421199;0.001736546;0.001071287;8.997;8;1;0.125;0.318181818;10.55530888;185.9751;7.659525191;676.4342559;0;0.432759547;1.446612884;0.007259036;13.37642982
FW08CO012;WMT;2008;0.349999999;3.727272727;493;0.00138599;0.001717402;0.001018251;9.499;9;1;0.111111111;0.045454545;11.87565944;54.459;6.859196877;684.004838;0;0.138720873;1.063653661;0.003305239;10.73355996
FW08CO013;SPL;2008;0.093181819;0.545454546;88;0.001467336;0.000183536;0.001058975;9.977;8;1;0.125;0.318181818;16.81790772;8376.7725;10.30782301;422.0426419;0.674046;0.129204165;0.582906063;0.007144757;1.696354019
FW08CO014;SPL;2008;0.7;4.636363637;267;0.001415042;0.001496133;0.001325062;6;6;0;0;0.5;19.36051407;108.9027;10.03550997;525.3750634;0.908241944;17.1797724;4.521700712;3.969323075;621.0999164
FW08CO017;WMT;2008;0.690909091;4.454545455;115;0.001613468;0.00196539;0.001222972;6.248;6;0;0;1;13.3010974;268.1649;3.229298224;1025.382802;0;0.225804719;0.591355426;0.000671229;0.713156058
FW08CO019;SPL;2008;0.409090908;3.818181818;518;0.001437614;0.001555424;0.00130689;8.994;6;0;0;0.363636364;6.604643301;272.3427;7.723206462;651.2312695;0;2.54098274;2.792737475;0.480828016;65.85760478
FW08CO020;SPL;2008;0.343181819;1.818181818;240;0.001086016;0.001801268;0.00113621;7.996;7;115;0.285714286;0.772727273;9.177266599;300.222;11.92347607;398.1525899;27.68271479;0.110860963;0.650578004;0.000899334;0.44913399
FW08CO025;XER;2008;0.725;1.454545455;64;0.00077166;0.00166563;0.001652744;4;4;30;0.75;0.318181818;118.9392052;19640.8467;4.580920674;496.131657;2.916043838;0.440878804;0.748110308;0.046895127;4.619217051
