Ecoregions;YEAR;HabitatComplexity;InsectDensity;LocalInsectTotalLCBD;LocalInsectReplLCBD;LocalInsectRichLCBD;RegionalInsectTotalLBCD;RegionalInsectReplLBCD;RegionalInsectRichLBCD;Insect_RarefiedChaoRichness;ObservedInsectRichness;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
XER;2014;Poor;463;0.0094854;0.010613414;0.007132107;0.001044822;0.000692143;0.001630072;12.00;10;0;0.01;0.39;0;0.67
TPL;2008;Poor;199;0.009677162;0.013289554;0.006860182;0.001153295;0.001413419;0.000698954;32.00;25;84.56476734;0.86;1.36;0;2.89
TPL;2009;Poor;347;0.011601648;0.014968866;0.005261978;0.000876639;0.000661352;0.001232283;11.00;11;90;2.82;0.6;0.79;9.77
CPL;2009;Poor;245;0.012582799;-0.002662828;0.04728466;0.000856336;0.000890972;0.000799119;19.00;15;33.30817544;1.32;1.08;0.05;12.17
CPL;2009;Poor;209;0.009581481;0.008985437;0.010938189;0.000806518;0.001042643;0.000416452;34.00;22;42.74095413;3.63;2.35;0.33;58.1
TPL;2009;Poor;18;0.014987526;0.017869528;0.009258437;0.000793864;5.43E-05;0.002015516;15.00;7;5.287388393;14.3;3.64;2.85;158.04
TPL;2009;Poor;308;0.01427844;0.016952313;0.008963088;0.000792354;0.000804315;0.000772594;20.00;16;87.25038402;0.66;2.72;0;4.15
CPL;2009;Poor;87;0.007622574;0.008410943;0.006062381;0.000889508;-0.000152302;0.002610525;4.00;4;0.379333804;1.31;1.62;0.17;21.36
SPL;2009;Poor;432;0.01180413;0.014438077;0.005509856;0.000757101;0.000862243;0.000583412;25.00;19;12.89715;1.06;1.21;0.22;27.31
TPL;2009;Poor;78;0.013324143;0.007144453;0.028091583;0.000529658;0.00088194;0.000743291;48.00;16;91.88024;0.57;1.4;0.01;3.9
SPL;2009;Poor;226;0.01171425;0.012997298;0.008648183;0.000848352;0.001101506;0.000430153;25.00;21;67.8556;1.16;1.24;0.1;2.9
XER;2008;Poor;171;0.011238547;0.013224342;0.008332012;0.001269006;-1.40E-05;0.003509914;9.00;8;7.252741;0.65;2.17;0.07;10.45
XER;2008;Poor;364;0.006759668;0.00873737;0.004077968;0.001180896;0.001538177;0.000556858;38.00;30;0.03919158;0.06;0.58;0;0.14
TPL;2009;Poor;4;0.004863859;0.004627698;0.00527197;0.000486625;-7.77E-05;0.00274478;5.00;3;94.26823;1.09;1.61;0.04;8.26
SPL;2009;Poor;203;0.004912632;0.002860805;0.008458388;0.000779807;0.000729405;0.000863067;33.00;15;1.387711;3.74;1.95;0.69;41.03
