SITE_ID;Ecoregions;YEAR;XFC_NAT_ALG_AQM;SumNat_PFC;InsectDensity;RegionalInsectTotalLBCD;RegionalInsectReplLBCD;RegionalInsectRichLBCD;Insect_RarefiedChaoRichness;ObservedInsectRichness;RiparianPresent;SDDEPTH_CM;CatchmentsArea;MeanAnnualTemperature;MeanPrecipitation;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
FW08AR004;SAP;2008;0.365909091;3.818181818;329;0.001392389;0.001554567;0.001109122;22;19;1;14.0715478;3.0969;15.4864539;1991.559488;0;0.34;0.88;0;4.32
FW08AR007;SAP;2008;0.516071428;3.142857143;313;0.001162406;0.001029726;0.001394151;68;47;1;28.04320377;234.9594;15.83568155;1717.253764;0;0.32;1.05;0.002681314;2.84
FW08AR008;CPL;2008;0.15;2.272727273;130;0.001343189;0.001763475;0.000609106;42;25;1;14.67725169;3.0537;16.76059981;2148.543744;0;1.18;2.4;0;8.76
FW08AR009;CPL;2008;0.15909091;2.454545454;383;0.001182763;0.001400533;0.0008024;58;38;0.909090909;12.96030848;11.6541;16.76723494;2490.120998;0;0.51;1.67;0.077226041;6.59
FW08AR010;CPL;2008;0.270454546;0.545454546;202;0.001395172;0.000625106;0.002740194;12;10;0;800.4100049;2313585.325;9.120166282;857.1050168;28.97048021;1.5;1.45;0.279137572;28.84
FW08AR035;SAP;2008;0.18409091;1.636363637;72;0.001401858;0.001245367;0.001675188;47;15;1;37.27132838;8.2098;14.16121009;1558.289421;0;0.05;0.47;0;1.49
FW08AR067;CPL;2008;0.268181818;1.545454546;110;0.001385624;0.001214161;0.001685106;21;15;0.909090909;371.3518572;2349120.425;9.21626444;868.4450709;29.26103214;1.52;1.45;0.283087863;29.12
FW08AR078;CPL;2008;0.447727273;0.636363636;16;0.001450942;0.000439392;0.004752659;4;4;0.090909091;488.5700554;2326299.216;9.157206214;861.2668678;28.92972921;1.52;1.45;0.283571823;29.22
FW08AR087;CPL;2008;0.495454545;1.909090909;25;0.001451076;0.000242495;0.003562022;9;7;1;166.1301573;2823937.737;9.925647886;878.2368419;27.70125422;1.44;1.44;0.269370298;27.14
FW08AR205;CPL;2008;0.572727272;2.363636364;47;0.001415025;0.000663144;0.002728285;45;10;0.909090909;225.7345373;2824491.184;9.927132866;878.4048352;27.69701618;1.44;1.44;0.26933826;27.14
FW08AR274;CPL;2008;0.363636364;0.545454545;503;0.001316489;0.000108444;0.003426498;12;8;0;348.3298901;2325885.766;9.155902999;861.1093347;28.9323482;1.52;1.45;0.283238725;29.19
FW08CA001;XER;2008;0.609090909;4.909090909;2344;0.001234757;0.001533071;0.000713712;38;37;0.954545455;14.4425158;922.5621;14.70878424;215.0305128;0;0.01;0;0;8.79
FW08CA004;XER;2008;0.620454546;6;1605;0.001189917;0.001508056;0.000634247;26;26;1;16.16768194;5081.5008;11.69931466;1109.248451;0.064805657;1.81;1.8;0.327907062;54.95
FW08CA006;WMT;2008;0.293181819;3.818181819;965;0.001286002;0.001506108;0.000901558;41;41;0.136363636;21.94132442;35.343;5.42560723;1082.449782;0;0.36;0.69;0;1.21
FW08CA007;XER;2008;0.200000001;2.181818182;769;0.001325045;0.001639991;0.00077495;39;39;0.909090909;5.085878647;19.6938;16.32444531;412.318047;0;0.14;0.67;0;4.69
FW08CA010;WMT;2008;0.354545454;3.818181817;856;0.001411387;0.001445957;0.001351006;49;49;1;11.67473314;24.9174;7.637504842;715.0696849;0;0.78;1.92;0.285342773;2.64
FW08CA011;XER;2008;1.029545454;4.818181817;873;0.00142747;0.001988482;0.000447589;30;30;0.727272727;9.429705978;25.4565;4.410543691;627.6912731;0;0.02;0.15;0;0.41
FW08CA012;WMT;2008;0.541818182;4.527272728;1175;0.001255344;0.001474272;0.000872959;40;40;1;10.0010656;156.8493;13.05329596;678.4417909;0;0.13;0.41;0.000573799;0.35
